,Dátum,BUX,Citadella_Származtatott,Erste_Stock_Hungary_Indexkövető_Részvény_A,Generali_Arany_Oroszlán_ESG,HOLD_Columbus,HOLD_Nemzetközi,HOLD_VM_Abszolút_Származtatott_Befektetési,MBH_Fejlett_Piaci_Részvény,OTP Föld Kincsei Árupiaci Alapok Alapja HUF,OTP_Klímaváltozás_13030,OTP_Supra,Platina Delta Származtatott Befektetési Alap A,Raiffeisen Részvény Alap,Takarék Származtatott Befektetési Alap,VIG_Opportunity_Fejlett_Piaci_Részvény,SPY,QQQ,VGT,BRK-B,USDHUF=X
1,2024-08-14,2756.989584,3.411925,4.1913,1.796739,3.519877,5.96983,2.771211,3.093861,3.709367,2.256996,4.271612,6.847361,4.493896,1.204986,3.537364,194446.08192443848,165473.17264394276,198976.89302315935,156797.7448804956,357.60198974609375
2,2024-08-13,2764.056639,3.406805,4.2014,1.783488,3.520642,5.964889,2.773126,3.078473,3.704679,2.268586,4.270105,6.894717,4.502736,1.204641,3.534894,195125.72421421856,166521.39795187488,199423.93415802717,155660.68655877933,359.9840087890625
3,2024-08-12,2784.195965,3.419156,4.2326,1.778218,3.531134,5.912478,2.77108,3.043825,3.725115,2.241888,4.301497,6.883029,4.448275,1.204911,3.496614,192537.13404211402,162970.74525292963,194396.52825720236,155392.309535034,361.04998779296875
4,2024-08-09,2771.977927,3.401291,4.2179,1.785474,3.505804,5.916965,2.770523,3.041711,3.708755,2.264143,4.286796,6.859653,4.458798,1.201331,3.506161,193282.4243388623,163335.78312794678,194243.42389362305,156539.9505401831,362.63800048828125
5,2024-08-08,2768.122682,3.397842,4.2077,1.789482,3.516849,5.916192,2.768446,3.038957,3.693529,2.275531,4.284677,6.849949,4.460171,1.20057,3.497927,193035.08795827627,162994.8728840649,193617.11267089844,156981.73876269162,363.77099609375
6,2024-08-07,2753.971805,3.400097,4.1846,1.794425,3.518654,5.90973,2.761746,2.986445,3.673517,2.2712,4.316724,6.72622,4.411099,1.199361,3.493111,188780.2957269363,158246.27183313854,187240.68016923591,155425.4501626063,363.97698974609375
7,2024-08-06,2706.215071,3.384875,4.1071,1.761687,3.50755,5.838001,2.760992,2.998417,3.63726,2.251457,4.25457,6.756652,4.414779,1.19842,3.452931,188962.44158979505,159062.8322089929,188358.0643673241,152769.5185885206,361.89300537109375
8,2024-08-05,2694.386479,3.377118,4.0863,1.763267,3.522284,5.817381,2.75826,2.96573,3.592493,2.243276,4.25205,6.687224,4.540706,1.199863,3.430653,188616.05331694335,158718.48435700685,187879.63500156254,150825.76263496093,364.55999755859375
9,2024-08-02,2779.201863,3.435062,4.2208,1.777328,3.560821,5.972088,2.759055,3.069025,3.587174,2.305466,4.268861,7.246716,4.588938,1.206145,3.531622,195620.6742544435,164730.29376983643,196042.81086777337,157245.38434809074,367.0870056152344
10,2024-08-01,2830.514223,3.458648,4.3073,1.816387,3.57052,6.13262,2.764666,3.143672,3.649323,2.386133,4.277809,7.509455,4.63647,1.208554,3.627739,197515.54935844243,167197.65107205324,199141.46546158195,157067.43402956054,363.74200439453125
