,Dátum,Citadella_Származtatott,Erste_Stock_Hungary_Indexkövető_Részvény_A,Generali_Arany_Oroszlán_ESG,HOLD_Columbus,HOLD_Nemzetközi,HOLD_VM_Abszolút_Származtatott_Befektetési,MBH_Fejlett_Piaci_Részvény,OTP_Klímaváltozás_13030,OTP_Supra,VIG_Opportunity_Fejlett_Piaci_Részvény,SP500
0,2024-08-15,3.418276,4.1939,1.825027,3.518786,6.060275,2.77453,3.159788,2.286064,4.25648,3.59841,198324.27480777353
1,2024-08-14,3.411925,4.1913,1.796739,3.519877,5.96983,2.771211,3.093861,2.256996,4.271612,3.537364,194446.08192443848
2,2024-08-13,3.406805,4.2014,1.783488,3.520642,5.964889,2.773126,3.078473,2.268586,4.270105,3.534894,195125.72421421856
3,2024-08-12,3.419156,4.2326,1.778218,3.531134,5.912478,2.77108,3.043825,2.241888,4.301497,3.496614,192537.13404211402
4,2024-08-09,3.401291,4.2179,1.785474,3.505804,5.916965,2.770523,3.041711,2.264143,4.286796,3.506161,193282.4243388623
5,2024-08-08,3.397842,4.2077,1.789482,3.516849,5.916192,2.768446,3.038957,2.275531,4.284677,3.497927,193035.08795827627
6,2024-08-07,3.400097,4.1846,1.794425,3.518654,5.90973,2.761746,2.986445,2.2712,4.316724,3.493111,188780.2957269363
7,2024-08-06,3.384875,4.1071,1.761687,3.50755,5.838001,2.760992,2.998417,2.251457,4.25457,3.452931,188962.44158979505
8,2024-08-05,3.377118,4.0863,1.763267,3.522284,5.817381,2.75826,2.96573,2.243276,4.25205,3.430653,188616.05331694335
9,2024-08-02,3.435062,4.2208,1.777328,3.560821,5.972088,2.759055,3.069025,2.305466,4.268861,3.531622,195620.6742544435
10,2024-08-01,3.458648,4.3073,1.816387,3.57052,6.13262,2.764666,3.143672,2.386133,4.277809,3.627739,197515.54935844243
11,2024-07-31,3.455911,4.3377,1.84993,3.573715,6.187326,2.762189,3.168264,2.437453,4.27601,3.664023,201132.13340568356
12,2024-07-30,3.411352,4.3013,1.832103,3.539367,6.076313,2.759163,3.114181,2.384256,4.28284,3.592242,196784.4898071289
13,2024-07-29,3.413873,4.3157,1.813165,3.534609,6.036162,2.759743,3.125869,2.382068,4.26011,3.567758,196030.2469882518
14,2024-07-26,3.407672,4.2805,1.829915,3.528387,6.035129,2.761761,3.106306,2.394466,4.265405,3.570213,196891.2904581055
15,2024-07-25,3.411252,4.2563,1.821666,3.538432,6.029233,2.760232,3.089846,2.375249,4.285376,3.570071,195333.52144954354
16,2024-07-24,3.436162,4.2826,1.832476,3.549225,6.050689,2.760679,3.121087,2.378909,4.291182,3.577669,194588.95927917957
17,2024-07-23,3.430612,4.3077,1.843371,3.540672,6.102814,2.765786,3.174581,2.385454,4.255803,3.616875,197953.10603880882
18,2024-07-22,3.421721,4.2881,1.836196,3.548142,6.077629,2.760533,3.161671,2.374367,4.267858,3.599734,198673.42813436314
19,2024-07-19,3.411216,4.2558,1.817447,3.561844,6.067474,2.758812,3.134957,2.361813,4.283912,3.587137,196667.97398664802
20,2024-07-18,3.433727,4.2489,1.826512,3.567242,6.075383,2.763997,3.156476,2.365888,4.286647,3.589484,197399.08515996113
21,2024-07-17,3.425945,4.2282,1.838248,3.553958,6.116421,2.767663,3.166616,2.379238,4.277546,3.621552,200229.3979059253
22,2024-07-16,3.431491,4.215,1.859593,3.555259,6.180413,2.777583,3.244158,2.444087,4.259479,3.668281,202767.78963117674
23,2024-07-15,3.414823,4.2396,1.870927,3.558542,6.168677,2.75768,3.243581,2.414357,4.278653,3.661728,202369.81548383832
24,2024-07-12,3.419623,4.2139,1.896772,3.559533,6.194378,2.755592,3.243009,2.473184,4.31212,3.681453,202712.4629605785
25,2024-07-11,3.415728,4.1931,1.879694,3.558771,6.164032,2.754174,3.252022,2.45227,4.308381,3.676846,202052.31407050788
26,2024-07-10,3.4051,4.1653,1.871724,3.5342,6.189182,2.745606,3.312879,2.396246,4.258692,3.682671,204471.48473707773
27,2024-07-09,3.412754,4.1437,1.865995,3.54364,6.194866,2.743306,3.283298,2.378566,4.276761,3.686321,202479.6752175782
28,2024-07-08,3.410765,4.1424,1.877033,3.534383,6.14922,2.741046,3.28619,2.384836,4.270395,3.660976,201338.9837892577
31,2024-07-03,3.406698,4.166,1.879126,3.53381,6.15979,2.741782,3.26571,2.393581,4.276893,3.671039,202459.1698234789
32,2024-07-02,3.402839,4.1519,1.862863,3.519392,6.149877,2.740858,3.255074,2.362107,4.261085,3.664651,201737.01866351068
33,2024-07-01,3.417526,4.2063,1.860153,3.52435,6.088848,2.737316,3.237771,2.351086,4.280245,3.620272,200445.17893959954
34,2024-06-28,3.401134,4.1955,1.857778,3.525787,6.155187,2.741905,3.224088,2.377949,4.293122,3.667478,201399.48854409158
35,2024-06-27,3.401868,4.1597,1.865799,3.523112,6.165818,2.744877,3.262279,2.417592,4.288675,3.68036,202957.32823533937
36,2024-06-26,3.39996,4.1316,1.867731,3.512566,6.154099,2.742303,3.268665,2.422822,4.293012,3.674784,201456.83994738758
37,2024-06-25,3.406964,4.1046,1.867133,3.511819,6.12259,2.744678,3.246853,2.421711,4.299229,3.653467,200399.38087644055
38,2024-06-24,3.421764,4.0839,1.874649,3.5252,6.14126,2.743662,3.221465,2.457605,4.325827,3.664563,201127.50169113278
39,2024-06-21,3.425917,4.0854,1.870554,3.517243,6.164397,2.743244,3.243218,2.470958,4.309635,3.680177,201703.9356597364
40,2024-06-20,3.431833,4.0847,1.878602,3.522451,6.163083,2.751622,3.243567,2.480036,4.312138,3.679675,200877.68430865556
42,2024-06-18,3.426394,4.0584,1.864657,3.512426,6.136421,2.750467,3.218353,2.505655,4.295571,3.664358,201348.32290194556
43,2024-06-17,3.415787,4.0486,1.854641,3.502263,6.115971,2.744764,3.227432,2.491662,4.293977,3.651033,202757.64225658402
44,2024-06-14,3.42802,4.0362,1.848525,3.511044,6.13127,2.750975,3.240061,2.509988,4.309768,3.657544,199852.78138051182
45,2024-06-13,3.442185,4.0681,1.869997,3.518174,6.066584,2.744753,3.221748,2.539347,4.339584,3.61175,197454.87706880644
46,2024-06-12,3.446592,4.077,1.897854,3.530163,6.09135,2.745831,3.197652,2.582091,4.347051,3.632369,198466.52834147215
47,2024-06-11,3.452802,4.0538,1.877141,3.525807,6.042957,2.738333,3.193689,2.543408,4.34256,3.593678,195337.7798108887
48,2024-06-10,3.454625,4.0889,1.886498,3.535147,6.027094,2.740542,3.1549,2.539876,4.345675,3.580594,193386.80232223496
