"Letöltés idõpontja","2024.08.20. 18:38"
"Alap neve:","Accorde Abacus Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","0"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","UCITS (európai) alap"
"Alap indulási dátuma:","2016/02/16"
"Alapkezelõ:","Accorde Alapkezelõ Zrt"
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","4,07%"
"5 éves szórás:","9,62%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","1,824096","42790481417","","145511554,58","0,34%","2,86%","8,81%","24,28%","18,47%","15,49%",""
"2024/08/14","1,822876","42616447864","","304989311,15","0,72%","2,92%","8,58%","24,21%","18,44%","15,44%",""
"2024/08/13","1,819893","42242219021","","88456235,28","0,21%","2,92%","8,4%","23,87%","18,38%","15,51%",""
"2024/08/12","1,822069","42204164973","","474727625,15","1,14%","3,02%","8,52%","24,02%","18,45%","15,38%",""
"2024/08/09","1,816896","41610964129","","173300786,57","0,42%","2,59%","8,55%","23,53%","18,74%","15,35%",""
"2024/08/08","1,818077","41464598225","","314227856,91","0,76%","3,02%","8,81%","23,76%","18,81%","15,28%",""
"2024/08/07","1,819703","41187173266","","21758628,79","0,05%","3,15%","8,84%","23,59%","18,84%","15,31%",""
"2024/08/06","1,815158","41062597414","","113401899,07","0,28%","3,23%","8,16%","23,32%","18,74%","15,21%",""
"2024/08/05","1,813869","40920116221","","174119461,14","0,43%","3,32%","8%","23,24%","18,78%","14,91%",""
"2024/08/02","1,817511","40827809129","","269679121,99","0,67%","3,45%","8,3%","23,8%","18,81%","15,32%",""
"2024/08/01","1,814614","40493482859","","148916356,86","0,37%","3,53%","8,28%","23,14%","18,75%","15,29%",""
"2024/07/31","1,817477","40408219981","","132352879,33","0,33%","3,7%","8,86%","23,23%","18,82%","15,43%",""
"2024/07/30","1,815704","40236576859","","376342615,96","0,94%","3,59%","9,35%","23,08%","18,78%","15,4%",""
"2024/07/29","1,814971","39844142660","","385326558,45","0,98%","3,44%","9,42%","23,03%","18,8%","15,46%",""
"2024/07/26","1,812997","39415899877","","145398717,93","0,37%","3,5%","8,92%","23,49%","18,71%","15,44%",""
"2024/07/25","1,813041","39271454223","","181975537,4","0,47%","3,55%","9,11%","23,58%","18,78%","15,42%",""
"2024/07/24","1,812208","39071519061","","201464332,32","0,52%","3,43%","9,63%","23,79%","18,77%","15,36%",""
"2024/07/23","1,809259","38806801619","","278396533,89","0,72%","3,08%","9,77%","23,82%","18,7%","15,28%",""
"2024/07/22","1,810908","38563520754","","159893578,5","0,42%","3,54%","9,5%","23,93%","18,76%","15,44%",""
