"Letöltés idõpontja","2024.08.20. 18:38"
"Alap neve:","Accorde Prizma Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","0"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","UCITS (európai) alap"
"Alap indulási dátuma:","2016/02/16"
"Alapkezelõ:","Accorde Alapkezelõ Zrt"
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","2,55%"
"5 éves szórás:","3,38%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","1,689898","17134819557","","16313476,08","0,1%","1,73%","5,48%","17,13%","12,52%","9,57%",""
"2024/08/14","1,690644","17126062990","","6062918,09","0,04%","1,74%","5,8%","17,31%","12,54%","9,57%",""
"2024/08/13","1,691027","17123878452","","113519449,52","0,67%","1,86%","5,73%","17,16%","12,55%","9,6%",""
"2024/08/12","1,694827","17048583918","","-5652020,71","-0,03%","2,13%","5,85%","17,43%","12,64%","9,62%",""
"2024/08/09","1,691968","17025467185","","39062536,56","0,23%","2,03%","5,82%","17,46%","12,68%","9,58%",""
"2024/08/08","1,690206","16968715162","","15952176,36","0,09%","2,02%","5,74%","17,55%","12,66%","9,57%",""
"2024/08/07","1,69372","16988008399","","3033815,84","0,02%","2,31%","5,9%","17,98%","12,74%","9,59%",""
"2024/08/06","1,685923","16906784654","","25047129,18","0,15%","1,75%","5,44%","17,52%","12,57%","9,49%",""
"2024/08/05","1,686603","16888546603","","30438530,62","0,18%","1,85%","5,48%","17,56%","12,61%","9,48%",""
"2024/08/02","1,692489","16916940426","","50828993,64","0,3%","2,15%","5,9%","18,03%","12,8%","9,55%",""
"2024/08/01","1,698408","16925095871","","57433158,65","0,34%","2,55%","6,49%","18,4%","12,92%","9,65%",""
