"Letöltés idõpontja","2024.08.20. 21:49"
"Alap neve:","OTP Tõzsdén Kereskedett BUX Indexkövetõ Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Hazai"
"Devizális kitettség:","HUF"
"Egyéb jellemzõ kitettség:","BUX"
"Hozam/kockázat mutató:","5"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Indexkövetõ befektetési alap"
"Alap indulási dátuma:","2006/12/01"
"Alapkezelõ:","OTP Alapkezelõ Zrt."
"Letétkezelõ:","OTP Bank Rt."
"1 éves szórás:","11,62%"
"5 éves szórás:","20,26%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/16","2781,465159","3754977965","","0,85","0%","4,8%","9,59%","29,99%","12,06%","11,92%","14,45%"
"2024/08/15","2757,81763","3723053800","","-0,1","-0%","4,19%","8,83%","28,47%","11,6%","11,72%","14,35%"
"2024/08/14","2756,989584","3721935938","","-0,75","-0%","3,86%","9,91%","27,23%","11,59%","11,65%","14,41%"
"2024/08/13","2764,056639","3731476463","","0,1","0%","4,04%","10,6%","27,12%","11,68%","11,38%","14,43%"
"2024/08/12","2784,195965","3758664553","","0,7","0%","4,37%","11,39%","28,05%","12,02%","11,45%","14,74%"
"2024/08/09","2771,977927","3742170201","","-0,75","-0%","4,2%","10,52%","29,49%","12,28%","11,51%","14,69%"
"2024/08/08","2768,122682","3736965621","","0,05","0%","4,23%","11,3%","29,67%","11,98%","11,6%","14,67%"
"2024/08/07","2753,971805","3717861937","","0,1","0%","3,73%","10,89%","30,38%","11,79%","11,54%","14,58%"
"2024/08/06","2706,215071","3653390346","","0,8","0%","2,4%","7,88%","29,24%","11,14%","11,29%","14,24%"
"2024/08/05","2694,386479","3637421746","","-0,6","-0%","2,8%","7,68%","28,68%","11,14%","11,27%","13,99%"
"2024/08/02","2779,201863","3751922515","","69480046,01","1,85%","5,84%","10,27%","33,5%","12,89%","11,73%","14,31%"
"2024/08/01","2830,514223","3750431346","","0,52","0%","7,77%","12,25%","35,64%","13,91%","12,05%","14,52%"
"2024/07/31","2849,85544","3776058458","","-0,2","-0%","8,51%","15,28%","37,72%","14,17%","12,04%","14,71%"
"2024/07/30","2827,851304","3746902978","","0,22","0%","7,67%","15,9%","36,74%","13,88%","11,82%","14,43%"
"2024/07/29","2838,147677","3760545672","","-0,65","-0%","8,47%","16,36%","37,24%","14,27%","11,82%","14,44%"
"2024/07/26","2816,435595","3731777164","","1,2","0%","8,99%","13,84%","35,64%","15,05%","11,67%","14,36%"
