"Letöltés idõpontja","2024.08.19. 21:43"
"Alap neve:","Citadella Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","4"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2009/06/30"
"Alapkezelõ:","Hold Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","5,66%"
"5 éves szórás:","8%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","3,418276","67496507834","0","3517436,98","0,01%","-1,61%","3,01%","14,36%","10,69%","11,7%","8,67%"
"2024/08/14","3,411925","67367591517","0","3317291,94","0%","-1,44%","2,79%","14,45%","10,62%","11,86%","8,61%"
"2024/08/13","3,406805","67263186105","0","6451347,21","0,01%","-1,65%","3,2%","14,03%","10,57%","11,31%","8,65%"
"2024/08/12","3,419156","67500566715","0","29714476,01","0,04%","-1,4%","3,95%","14,45%","10,72%","11,26%","8,64%"
"2024/08/09","3,401291","67118318814","0","12970442,84","0,02%","-1,6%","3,24%","13,75%","10,54%","10,29%","8,6%"
"2024/08/08","3,397842","67037301754","0","39798402,98","0,06%","-1,63%","3,46%","13,66%","10,49%","10,18%","8,59%"
"2024/08/07","3,400097","67041966681","0","10671833,47","0,02%","-1,07%","4,13%","12,87%","10,51%","10,31%","8,59%"
"2024/08/06","3,384875","66731200359","0","10112791,32","0,02%","-1,67%","3,56%","12,55%","10,35%","10,15%","8,55%"
"2024/08/05","3,377118","66568185178","0","29051002,76","0,04%","-1,87%","3,29%","12,29%","10,22%","9,98%","8,49%"
"2024/08/02","3,435062","67680801002","0","45619244,87","0,07%","-0,36%","5,82%","14,59%","10,87%","9,92%","8,77%"
"2024/08/01","3,458648","68099581933","0","119745013,57","0,18%","0,18%","6,6%","14,39%","11,22%","9,68%","8,84%"
"2024/07/31","3,455911","67926041097","0","183412004,56","0,27%","0,1%","6,98%","14,46%","11,19%","9,7%","8,83%"
"2024/07/30","3,411352","66869185358","0","-20709550,48","-0,03%","-1,19%","5,71%","13,02%","10,71%","9,45%","8,69%"
"2024/07/29","3,413873","66939326754","0","61091756,13","0,09%","-0,82%","6,1%","13,11%","10,78%","9,3%","8,72%"
"2024/07/26","3,407672","66756756567","0","18616248,77","0,03%","-1,29%","6,1%","13,17%","10,84%","9,34%","8,7%"
"2024/07/25","3,411252","66808253446","0","-123556,24","-0%","-1%","6,5%","13,83%","10,78%","9,46%","8,72%"
"2024/07/24","3,436162","67296232098","0","36398632,39","0,05%","-0,39%","7,22%","14,93%","11,05%","9,58%","8,81%"
"2024/07/23","3,430612","67151197122","0","56681219,73","0,08%","-0,35%","7,12%","14,58%","10,99%","9,56%","8,78%"
"2024/07/22","3,421721","66920629336","0","2416976,72","0%","-0,33%","6,67%","14,28%","10,84%","9,7%","8,76%"
"2024/07/19","3,411216","66712767257","0","45986957,45","0,07%","-0,18%","7,37%","14,03%","10,75%","9,63%","8,76%"
"2024/07/18","3,433727","67106721919","0","75681826","0,11%","0,68%","8,24%","15,14%","10,87%","9,73%","8,83%"
"2024/07/17","3,425945","66879124826","0","-221751,48","-0%","0,75%","8,63%","15,7%","10,79%","9,62%","8,81%"
"2024/07/16","3,431491","66987612430","0","-2529045,97","-0%","0,61%","8,64%","15,39%","10,85%","9,69%","8,84%"
"2024/07/15","3,414823","66664745991","0","49830408,72","0,07%","0,14%","7,96%","14,83%","10,72%","9,64%","8,83%"
"2024/07/12","3,419623","66708551942","0","42445328,45","0,06%","1,01%","8,04%","15,3%","10,66%","9,69%","8,84%"
"2024/07/11","3,415728","66590172955","0","62559989,99","0,09%","0,34%","8,22%","14,94%","10,61%","9,62%","8,83%"
"2024/07/10","3,4051","66320613031","0","37370785,66","0,06%","0,04%","8,36%","15,55%","10,49%","9,42%","8,81%"
"2024/07/09","3,412754","66432234033","0","-44422177,14","-0,07%","1,11%","9,43%","16,01%","10,58%","9,57%","8,81%"
"2024/07/08","3,410765","66437912700","0","21996446,02","0,03%","1,33%","9,92%","15,94%","10,64%","9,43%","8,79%"
"2024/07/05","3,422765","66649585532","0","53378691,59","0,08%","2,26%","10,9%","15,94%","10,75%","9,42%","8,82%"
"2024/07/04","3,417451","66492813168","0","35458134,52","0,05%","2,19%","10,7%","15,52%","10,65%","9,4%","8,81%"
"2024/07/03","3,406698","66248247152","0","237306604,45","0,36%","1,59%","10,79%","15,26%","10,53%","9,39%","8,8%"
"2024/07/02","3,402839","65936165437","0","50133757,97","0,08%","1,1%","10,27%","16,06%","10,49%","9,52%","8,8%"
"2024/07/01","3,417526","66170402508","0","168174455,01","0,26%","1,62%","10,87%","16,56%","10,6%","9,64%","8,87%"
"2024/06/28","3,401134","65685651523","0","18469409,12","0,03%","1,13%","10,6%","16,85%","10,32%","9,62%","8,82%"
"2024/06/27","3,401868","65681353773","0","132628464,37","0,2%","1,25%","10,45%","17,62%","10,31%","9,81%","8,82%"
"2024/06/26","3,39996","65511961105","0","198716479,83","0,3%","0,76%","10,71%","17,86%","10,29%","9,79%","8,82%"
"2024/06/25","3,406964","65447791492","0","28041391,67","0,04%","1,08%","10,94%","17,66%","10,37%","9,86%","8,84%"
"2024/06/24","3,421764","65703936344","0","77651893,97","0,12%","1,56%","11,42%","18,17%","10,49%","9,92%","8,88%"
"2024/06/21","3,425917","65705935168","0","93517088,71","0,14%","2%","11,2%","17,16%","10,48%","10,01%","8,9%"
"2024/06/20","3,431833","65725720026","0","50024566,71","0,08%","2,03%","11,27%","17,55%","10,57%","9,98%","8,92%"
"2024/06/19","3,429134","65624044140","0","233553193,56","0,36%","2,04%","11,24%","17,35%","10,54%","9,86%","8,91%"
"2024/06/18","3,426394","65338241619","0","90617142,87","0,14%","1,84%","11,82%","16,81%","10,51%","9,8%","8,88%"
"2024/06/17","3,415787","65045639079","0","63918884,86","0,1%","1,89%","12,15%","16,45%","10,31%","9,59%","8,83%"
"2024/06/14","3,42802","65214440028","0","240400882,13","0,37%","2,25%","12,55%","17,47%","10,32%","9,63%","8,89%"
"2024/06/13","3,442185","65242519862","0","228360325,12","0,35%","2,73%","12,52%","18,54%","10,44%","9,76%","8,93%"
"2024/06/12","3,446592","65097396609","0","149914930,48","0,23%","3,37%","13,04%","19,45%","10,49%","9,78%","8,95%"
"2024/06/11","3,452802","65064502742","0","142194313,86","0,22%","3,64%","13,63%","20,05%","10,56%","9,89%","8,97%"
"2024/06/10","3,454625","64956585913","0","27280106,36","0,04%","3,22%","14,16%","20,12%","10,55%","9,99%","8,98%"
"2024/06/07","3,453039","64899497107","0","55462484,71","0,09%","3,22%","14,36%","20,42%","10,71%","9,98%","9%"
"2024/06/06","3,464591","65060967674","0","178871725,85","0,28%","2,93%","14,08%","20,48%","10,78%","9,94%","9,04%"
"2024/06/05","3,444598","64507682996","0","189140599,98","0,29%","2,29%","13,66%","21,11%","10,57%","9,7%","8,98%"
"2024/06/04","3,449038","64401447376","0","170772966,44","0,27%","2,18%","13,66%","21,43%","10,61%","9,71%","8,99%"
"2024/06/03","3,458513","64407125246","0","93894945,05","0,15%","2,93%","13,26%","21,76%","10,68%","9,39%","9,02%"
"2024/05/31","3,451138","64176087525","0","126016426,11","0,2%","2,47%","12,92%","21,83%","10,45%","9,35%","8,97%"
"2024/05/30","3,457405","64166381080","0","122751495,96","0,19%","2,66%","13,12%","22,09%","10,56%","9,57%","8,99%"
"2024/05/29","3,458496","64063838845","0","69248795,28","0,11%","2,69%","13,7%","20,89%","10,57%","9,62%","9%"
"2024/05/28","3,487682","64534635811","0","126054572,23","0,2%","4,15%","15,04%","21,91%","10,88%","9,9%","9,08%"
"2024/05/27","3,498304","64604742457","0","78052937,35","0,12%","4,46%","15,43%","22,28%","11,01%","10,18%","9,11%"
"2024/05/24","3,486654","64311803697","0","99748955,67","0,16%","4,19%","14,79%","23,22%","10,67%","10,29%","9,07%"
"2024/05/23","3,492691","64323235310","0","112686669,99","0,18%","4,37%","15,59%","22,33%","10,74%","10,26%","9,08%"
"2024/05/22","3,489702","64155598079","0","135208825,52","0,21%","4,32%","15,42%","21,67%","10,71%","10,33%","9,05%"
"2024/05/21","3,491328","64050219065","0","177202495,69","0,28%","4,46%","16,23%","24,53%","10,72%","10,37%","9,03%"
"2024/05/17","3,491363","63873656886","0","100882036,47","0,16%","5,02%","16,38%","25,13%","10,27%","10,37%","9,02%"
"2024/05/16","3,471918","63417595051","0","31881695,51","0,05%","4,44%","16,71%","24,36%","10,34%","10,32%","8,96%"
"2024/05/15","3,474288","63428981699","0","119454248,73","0,19%","4,69%","17%","25,66%","10,36%","10,26%","8,96%"
"2024/05/14","3,461649","63079215767","0","127639739,02","0,2%","4,29%","16,73%","25,2%","10,23%","10,07%","8,94%"
"2024/05/13","3,46386","62991784014","0","132854483,35","0,21%","4,93%","18,67%","25,28%","9,95%","10,02%","8,96%"
"2024/05/10","3,467816","62930719362","0","128214764,14","0,2%","5,26%","18,85%","24,66%","10,27%","10,34%","8,92%"
"2024/05/09","3,456554","62598548619","0","285365915,31","0,46%","4,92%","18,3%","24,45%","10,47%","10,29%","8,88%"
"2024/05/08","3,454193","62270619670","0","459388148,97","0,75%","5,17%","17,83%","24,6%","10,44%","10,34%","8,83%"
"2024/05/07","3,436811","61500188442","0","142578823,35","0,23%","5,25%","16,95%","24,99%","10,26%","10,16%","8,78%"
"2024/05/06","3,442307","61455730063","0","74919150,98","0,12%","5,31%","16,64%","25,19%","10,27%","10,27%","8,79%"
"2024/05/03","3,441625","61368649965","0","261672100,07","0,43%","6,03%","17,21%","25,68%","10,37%","10,2%","8,85%"
"2024/05/02","3,447401","61209532299","0","172940378,09","0,28%","6,2%","16,96%","26,67%","10,44%","10,24%","8,86%"
"2024/04/30","3,452594","61128534524","0","81766879,03","0,13%","6,99%","17,19%","26,14%","10,49%","10,25%","8,88%"
"2024/04/29","3,441983","60859150088","0","106843823,16","0,18%","6,98%","17,05%","25,76%","10,39%","10,21%","8,81%"
"2024/04/26","3,452241","60933363858","0","75304171,01","0,12%","7,49%","17,33%","25,41%","10,59%","10,26%","8,87%"
"2024/04/25","3,445765","60743897091","0","167001216,55","0,28%","7,58%","16,93%","25,73%","10,51%","10,25%","8,85%"
"2024/04/24","3,449542","60643295915","0","137159001,75","0,23%","7,64%","17,21%","24,82%","10,55%","10,14%","8,86%"
"2024/04/23","3,442505","60382705546","0","150397019,44","0,25%","7,49%","17,33%","24,34%","10,47%","10,07%","8,85%"
"2024/04/22","3,432928","60064743100","0","127148556,73","0,21%","7,02%","17%","23,99%","10,25%","9,97%","8,83%"
"2024/04/19","3,417226","59663443699","0","170388639,96","0,29%","7,56%","16,47%","23,84%","10,23%","9,87%","8,76%"
"2024/04/18","3,410662","59378777451","0","60411391,98","0,1%","7,52%","16,33%","23,95%","10,18%","9,83%","8,74%"
"2024/04/17","3,400498","59141593376","0","97081803,24","0,16%","7,82%","16,13%","24,31%","10,07%","9,81%","8,71%"
"2024/04/16","3,410787","59223164517","0","101678333,44","0,17%","7,99%","16,41%","25,04%","10,18%","9,83%","8,75%"
"2024/04/15","3,410079","59109213939","0","196247223,26","0,34%","7,81%","16,89%","25,01%","10,16%","9,79%","8,77%"
"2024/04/12","3,38538","58486263591","0","90387556,89","0,15%","6,96%","15,68%","24,16%","9,82%","9,71%","8,67%"
"2024/04/11","3,404094","58718681871","0","200227491,44","0,34%","7,85%","15,88%","24,9%","10,1%","9,83%","8,73%"
"2024/04/10","3,403664","58511062417","0","91484749,99","0,16%","8,32%","16,07%","25,71%","10,1%","9,88%","8,73%"
"2024/04/09","3,375321","57933106003","0","54788345,73","0,09%","8,23%","16,25%","24,66%","9,79%","9,7%","8,65%"
"2024/04/08","3,365845","57715827945","0","99306903,23","0,17%","8,47%","15,35%","24,32%","9,61%","9,64%","8,62%"
"2024/04/05","3,347073","57295182022","0","152386544,27","0,27%","8,45%","14,47%","23,6%","9,29%","9,49%","8,57%"
"2024/04/04","3,34433","57095965699","0","92994142,12","0,16%","8,33%","13,92%","23,47%","9,26%","9,5%","8,56%"
"2024/04/03","3,353218","57154464505","0","42654397,9","0,07%","9,05%","14,8%","24,34%","9,36%","9,49%","8,51%"
"2024/04/02","3,365832","57326651007","0","180980922,04","0,32%","9,07%","15,11%","25,33%","9,49%","9,65%","8,55%"
"2024/03/28","3,363166","57100406282","0","178980443,04","0,31%","9,36%","14,51%","25,27%","9,42%","9,79%","8,62%"
"2024/03/27","3,359711","56862950127","0","113860807,45","0,2%","9,08%","14,34%","25,29%","9,39%","9,69%","8,6%"
"2024/03/26","3,374332","56996053548","0","93387958,08","0,16%","9,88%","14,27%","26,06%","9,54%","9,79%","8,64%"
"2024/03/25","3,370503","56838095682","0","175910610,08","0,31%","9,75%","14,08%","25,92%","9,52%","9,69%","8,57%"
"2024/03/22","3,369133","56639153734","0","173830164,07","0,31%","9,71%","15,38%","25,45%","9,62%","9,66%","8,58%"
"2024/03/21","3,358874","56293386827","0","125521420,97","0,22%","9,03%","15,02%","24,85%","9,49%","9,54%","8,55%"
"2024/03/20","3,363489","56245038500","0","138847335,13","0,25%","9,05%","15,1%","25,41%","9,54%","9,62%","8,54%"
"2024/03/19","3,360598","56057966539","0","51312546,98","0,09%","9,02%","14,22%","25,32%","9,51%","9,45%","8,53%"
"2024/03/18","3,3645","56071683479","0","153219845,09","0,27%","9,8%","13,34%","25,46%","9,51%","9,36%","8,53%"
"2024/03/14","3,352524","55719420828","0","101852324,15","0,18%","10,07%","13,52%","23,86%","9,6%","9,25%","8,57%"
"2024/03/13","3,350736","55587906013","0","105893661,62","0,19%","9,53%","14,01%","24,29%","9,58%","9,31%","8,52%"
"2024/03/12","3,334205","55208289460","0","50574168,16","0,09%","9,35%","13,01%","24,38%","9,4%","9,14%","8,43%"
"2024/03/11","3,331648","55115414870","0","107476442,77","0,19%","9,64%","12,58%","24,28%","9,49%","9,1%","8,44%"
"2024/03/08","3,346964","55260816758","0","106272696,75","0,19%","10,6%","12,75%","21,82%","9,58%","9,1%","8,45%"
"2024/03/07","3,345162","55124848944","0","137611742,51","0,25%","10,78%","12,88%","21,14%","9,66%","9,16%","8,44%"
"2024/03/06","3,365982","55329473027","0","152851955,34","0,28%","10,84%","13,15%","22,01%","9,89%","9,3%","8,57%"
"2024/03/05","3,367337","55198832813","0","215419168,23","0,39%","11,11%","13,12%","20,97%","9,9%","9,41%","8,58%"
