"Letöltés idõpontja","2024.08.22. 17:50"
"Alap neve:","Erste Duett Nyíltvégû Alapok Alapja"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Vegyes/Kiegyensúlyozott"
"Földrajzi kitettség:","Hazai"
"Devizális kitettség:","HUF"
"Egyéb jellemzõ kitettség:","Alapok alapja"
"Hozam/kockázat mutató:","1"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Alapok alapja"
"Alap indulási dátuma:","2005/09/22"
"Alapkezelõ:","Erste Alapkezelõ Zrt."
"Letétkezelõ:","Erste Bank Hungary Zrt."
"1 éves szórás:","0,49%"
"5 éves szórás:","0,8%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/21","2,4972","396020582916","","-927168464,06","-0,23%","1,58%","3,35%","8,62%","9,38%","6,22%","3,78%"
"2024/08/16","2,4956","396693419968","","88882594,95","0,02%","1,55%","3,35%","8,74%","9,36%","6,21%","3,78%"
"2024/08/15","2,4953","396556860918","","-198562960,96","-0,05%","1,57%","3,36%","8,78%","9,36%","6,21%","3,78%"
"2024/08/14","2,4947","396660023224","","145476382,55","0,04%","1,56%","3,37%","8,8%","9,35%","6,21%","3,78%"
"2024/08/13","2,4941","396419181175","","-89274579,52","-0,02%","1,55%","3,37%","8,88%","9,34%","6,2%","3,78%"
"2024/08/12","2,4938","396460762183","","153620895,4","0,04%","1,58%","3,38%","8,87%","9,34%","6,2%","3,78%"
"2024/08/09","2,4928","396148224317","","-80744844,55","-0,02%","1,57%","3,4%","8,9%","9,33%","6,2%","3,77%"
"2024/08/08","2,4925","396181284353","","383868337,01","0,1%","1,58%","3,41%","8,94%","9,33%","6,19%","3,77%"
"2024/08/07","2,4921","395733897875","","474688013,39","0,12%","1,59%","3,43%","8,95%","9,33%","6,19%","3,77%"
"2024/08/06","2,4918","395211628399","","-10559925,61","-0%","1,59%","3,45%","8,96%","9,32%","6,19%","3,77%"
"2024/08/05","2,4913","395142883768","","-432303919,12","-0,11%","1,61%","3,41%","8,94%","9,32%","6,18%","3,77%"
"2024/08/02","2,4899","395352891993","","132288314,39","0,03%","1,57%","3,42%","8,95%","9,3%","6,17%","3,77%"
"2024/08/01","2,4896","395172984826","","224456311,67","0,06%","1,58%","3,44%","8,98%","9,3%","6,17%","3,76%"
"2024/07/31","2,4893","394900936709","","-435620870,75","-0,11%","1,57%","3,41%","9,01%","9,3%","6,17%","3,76%"
"2024/07/30","2,4885","395209506101","","386379958,44","0,1%","1,53%","3,41%","9,08%","9,29%","6,16%","3,76%"
"2024/07/29","2,4878","394712064785","","-455267081,9","-0,12%","1,53%","3,4%","9,05%","9,28%","6,16%","3,76%"
"2024/07/26","2,4869","395024373993","","106164144,07","0,03%","1,54%","3,44%","9,11%","9,25%","6,15%","3,76%"
"2024/07/25","2,4862","394807050274","","-669907105,08","-0,17%","1,53%","3,43%","9,17%","9,25%","6,15%","3,75%"
"2024/07/24","2,4855","395365609189","","522619909,37","0,13%","1,52%","3,43%","9,15%","9,24%","6,14%","3,75%"
"2024/07/23","2,4841","394620587274","","52769749,02","0,01%","1,48%","3,39%","9,22%","9,21%","6,13%","3,75%"
"2024/07/22","2,4837","394504282592","","-242676529,1","-0,06%","1,5%","3,4%","9,21%","9,21%","6,13%","3,75%"
"2024/07/19","2,4828","394603917585","","-84589602,21","-0,02%","1,5%","3,44%","9,29%","9,2%","6,12%","3,74%"
"2024/07/18","2,4822","394593125721","","-370845907,23","-0,09%","1,5%","3,43%","9,31%","9,2%","6,12%","3,74%"
"2024/07/17","2,4817","394884412372","","-438618223,75","-0,11%","1,5%","3,42%","9,34%","9,19%","6,11%","3,74%"
"2024/07/16","2,4812","395243382969","","-204403702,24","-0,05%","1,49%","3,42%","9,44%","9,19%","6,11%","3,74%"
"2024/07/15","2,4807","395368097854","","-225909869,46","-0,06%","1,49%","3,43%","9,42%","9,18%","6,11%","3,74%"
"2024/07/12","2,4797","395434539022","","8166882,02","0%","1,5%","3,45%","9,46%","9,17%","6,1%","3,74%"
"2024/07/11","2,4792","395346639436","","-225177323,83","-0,06%","1,5%","3,46%","9,48%","9,17%","6,1%","3,73%"
"2024/07/10","2,4788","395507994266","","9767557,17","0%","1,5%","3,47%","9,5%","9,17%","6,09%","3,73%"
"2024/07/09","2,4786","395466316250","","402459102,65","0,1%","1,54%","3,48%","9,6%","9,16%","6,09%","3,73%"
"2024/07/08","2,478","394968223195","","-88908200,64","-0,02%","1,53%","3,48%","9,57%","9,16%","6,09%","3,73%"
"2024/07/05","2,4771","394913648176","","-129403106,81","-0,03%","1,55%","3,5%","9,63%","9,16%","6,08%","3,73%"
"2024/07/04","2,4768","394995207871","","52320340,93","0,01%","1,55%","3,51%","9,67%","9,16%","6,08%","3,73%"
"2024/07/03","2,4764","394879104764","","-93198133,91","-0,02%","1,55%","3,51%","9,67%","9,15%","6,08%","3,73%"
"2024/07/02","2,4761","394924454533","","-88972129,62","-0,02%","1,53%","3,5%","9,79%","9,15%","6,07%","3,73%"
"2024/07/01","2,4758","394965567518","","-335863977,01","-0,09%","1,63%","3,56%","9,78%","9,15%","6,07%","3,73%"
"2024/06/28","2,4746","395109832126","","-64268430,04","-0,02%","1,58%","3,53%","9,83%","9,15%","6,07%","3,72%"
"2024/06/27","2,4741","395094254500","","-126251458,53","-0,03%","1,59%","3,53%","9,86%","9,14%","6,06%","3,72%"
"2024/06/26","2,4737","395156608702","","154809952,71","0,04%","1,61%","3,64%","9,89%","9,14%","6,06%","3,72%"
"2024/06/25","2,473","394890022358","","16531495,33","0%","1,6%","3,61%","9,99%","9,13%","6,05%","3,72%"
"2024/06/24","2,4726","394809621313","","377850010,67","0,1%","1,64%","3,59%","9,98%","9,12%","6,05%","3,72%"
"2024/06/21","2,4716","394272250243","","547711862,13","0,14%","1,63%","3,57%","10,07%","9,1%","6,04%","3,72%"
"2024/06/20","2,4712","393660818598","","-22533324,67","-0,01%","1,64%","3,6%","10,11%","9,1%","6,04%","3,72%"
