"Letöltés idõpontja","2024.08.19. 21:30"
"Alap neve:","Erste Stock Hungary Indexkövetõ Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Hazai"
"Devizális kitettség:","HUF"
"Egyéb jellemzõ kitettség:","BUX"
"Hozam/kockázat mutató:","6"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Indexkövetõ befektetési alap"
"Alap indulási dátuma:","2006/04/26"
"Alapkezelõ:","Erste Alapkezelõ Zrt."
"Letétkezelõ:","Erste Bank Hungary Zrt."
"1 éves szórás:","12,22%"
"5 éves szórás:","21,52%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","4,1939","12209889142","","25452475,62","0,21%","4,16%","8,92%","31,72%","13,45%","13,28%","15,06%"
"2024/08/14","4,1913","12176882949","","7149463,31","0,06%","3,81%","10,05%","30,73%","13,43%","13,2%","15,11%"
"2024/08/13","4,2014","12199059544","","17759983,71","0,14%","3,93%","10,75%","30,54%","13,52%","12,95%","15,13%"
"2024/08/12","4,2326","12271759061","","5403721,67","0,04%","4,21%","11,77%","31,51%","13,86%","13,07%","15,44%"
"2024/08/09","4,2179","12223753765","","30325132,14","0,25%","4,19%","10,82%","32,78%","14,19%","13,13%","15,39%"
"2024/08/08","4,2077","12163941691","","20883366,65","0,17%","4,02%","11,64%","32,58%","13,81%","13,22%","15,36%"
"2024/08/07","4,1846","12076393722","","44978680,23","0,38%","3,41%","11,17%","32,94%","13,6%","13,17%","15,26%"
"2024/08/06","4,1071","11808589762","","13476160,75","0,11%","2,14%","8,06%","31,43%","12,89%","12,87%","14,9%"
"2024/08/05","4,0863","11735378420","","12062508,71","0,1%","2,6%","7,72%","30,76%","12,9%","12,86%","14,66%"
"2024/08/02","4,2208","12109187235","","30498985,09","0,25%","5,83%","10,39%","35,94%","14,84%","13,38%","15,01%"
"2024/08/01","4,3073","12326225810","","32486440,93","0,26%","7,97%","12,66%","38,44%","15,95%","13,75%","15,25%"
