"Letöltés idõpontja","2024.08.19. 21:46"
"Alap neve:","Generali Arany Oroszlán ESG Nemzetközi Részvény Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Fejlett piaci / Európa"
"Devizális kitettség:","EUR"
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","4"
"Bef. politika rövid leírása:","Az Alap kizárólag Európa meghatározó tõzsdéin jegyzett részvényekbe fekteti vagyonát. A befektetési stratégia kialakításánál az alapkezelõ nagy hangsúlyt fektet a földrajzi, az ágazati, és a szektor allokációra. Az Alap aktív befektetési stratégát folytat, ennek következtében a portfólió összetétele idõbeli korlátozás nélkül eltérhet a benchmark összetételétõl."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Értékpapíralap"
"Alap indulási dátuma:","2000/04/07"
"Alapkezelõ:","Generali Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","11,59%"
"5 éves szórás:","16,71%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","1,825027","9046575981","","-1604,57","-0%","-2,84%","3,51%","13,33%","9,4%","11,87%","7,14%"
"2024/08/14","1,796739","8906355229","","-1718,72","-0%","-4,08%","2,79%","11,98%","8,84%","11,64%","6,97%"
"2024/08/13","1,783488","8840672318","","1259,31","0%","-4,9%","2,7%","10,89%","8,57%","11,05%","6,99%"
"2024/08/12","1,778218","8814547902","","1723,73","0%","-5,35%","1,18%","10,56%","8,44%","11,13%","6,88%"
"2024/08/09","1,785474","8850513842","","538,47","0%","-4,61%","1,89%","10,26%","8,82%","11,18%","6,97%"
"2024/08/08","1,789482","8870380777","","-1767,23","-0%","-4,25%","2,52%","11,49%","9,04%","10,97%","6,99%"
"2024/08/07","1,794425","8894884775","","-1227,77","-0%","-3,51%","3,43%","9,93%","9,14%","11,39%","6,92%"
"2024/08/06","1,761687","8732605173","","-11445860,89","-0,13%","-4,46%","1,44%","7,77%","8,47%","11,04%","6,74%"
"2024/08/05","1,763267","8751893290","","3053,54","0%","-3,77%","2,86%","7,87%","8,51%","10,85%","6,75%"
"2024/08/02","1,777328","8821681328","","-4392,33","-0%","-2,37%","4,02%","9,14%","8,88%","10,66%","6,74%"
"2024/08/01","1,816387","9015553269","","3950,61","0%","-1,05%","6,27%","9,96%","9,78%","10,6%","6,97%"
"2024/07/31","1,84993","9182038382","","-316,22","-0%","0,78%","7,9%","11,93%","10,45%","11,09%","7,05%"
"2024/07/30","1,832103","9093555240","","-2977,13","-0%","-0,19%","5,5%","11,24%","10,09%","10,85%","6,9%"
"2024/07/29","1,813165","8999560333","","3163,45","0%","-2,4%","4,87%","10,09%","9,41%","10,34%","6,88%"
"2024/07/26","1,829915","9082694988","","-1433,76","-0%","-2,12%","6,64%","13,99%","9,6%","10,55%","6,87%"
"2024/07/25","1,821666","9041752901","","-1663,19","-0%","-1,24%","7,4%","13,41%","9,65%","10,6%","6,82%"
"2024/07/24","1,832476","9095409497","","-1966871,59","-0,02%","-1,65%","8,54%","14,26%","9,87%","10,58%","6,97%"
"2024/07/23","1,843371","9151464889","","-4003,99","-0%","-1,56%","11,42%","14,36%","10,08%","10,72%","6,98%"
"2024/07/22","1,836196","9115848397","","4149,07","0%","-0,78%","11,17%","13,92%","10,29%","10,91%","7,07%"
"2024/07/19","1,817447","9022764335","","-2646,38","-0%","-1,38%","10,58%","14,96%","10,79%","10,69%","6,89%"
"2024/07/18","1,826512","9067770430","","2645,59","0%","-0,98%","11,36%","15,42%","10,2%","10,73%","6,94%"
"2024/07/17","1,838248","9126031471","","-729,86","-0%","0,12%","13,35%","16,61%","10,43%","10,77%","6,89%"
"2024/07/16","1,859593","9232000034","","-245054,11","-0%","0,85%","13,87%","16,78%","10,86%","10,99%","7,15%"
"2024/07/15","1,870927","9288514533","","-1010,68","-0%","0,69%","14,52%","17,49%","10,95%","11,21%","7,12%"
"2024/07/12","1,896772","9416827169","","-98542,55","-0%","2,9%","15,73%","19,25%","11,52%","11,54%","7,34%"
"2024/07/11","1,879694","9332138369","","-4388,05","-0%","1,99%","15,43%","19,18%","11,31%","11,35%","7,24%"
"2024/07/10","1,871724","9292573988","","300644,81","0%","1,12%","14,64%","18,33%","11,16%","11,21%","7,09%"
"2024/07/09","1,865995","9263831418","","-2248856,2","-0,02%","1,33%","14,24%","17,45%","11,04%","11,14%","7,08%"
"2024/07/08","1,877033","9320892315","","-687,89","-0%","0,57%","14,76%","18,15%","11,66%","11,23%","6,98%"
"2024/07/05","1,875785","9314695736","","500154,03","0,01%","0,97%","15,07%","18,09%","11,54%","11,25%","6,78%"
"2024/07/04","1,881345","9341803718","","-1153,31","-0%","0,05%","14,82%","18,21%","11,63%","11,31%","6,82%"
"2024/07/03","1,879126","9330786443","","-1799,42","-0%","-0,46%","14,78%","18,28%","11,59%","11,27%","6,93%"
"2024/07/02","1,862863","9250034419","","2078,2","0%","-1,29%","12,1%","17,85%","11,27%","11,27%","6,84%"
"2024/07/01","1,860153","9236575856","","-150,99","-0%","-2,2%","11,58%","17,67%","11,3%","11,29%","6,9%"
"2024/06/28","1,857778","9224782962","","2743,52","0%","-2,32%","11,83%","18,86%","11,22%","11,34%","6,97%"
"2024/06/27","1,865799","9264608423","","637056,24","0,01%","-1,67%","12,01%","20,67%","11,12%","11,62%","7,01%"
"2024/06/26","1,867731","9273564036","","-1143,89","-0%","-1,65%","12,13%","21,26%","11,16%","11,63%","7,01%"
"2024/06/25","1,867133","9270596020","","485,88","0%","-1,48%","12,1%","21,13%","11,15%","11,58%","6,94%"
"2024/06/24","1,874649","9307913602","","2065","0%","-0,98%","12,55%","21,62%","11,46%","11,6%","6,98%"
"2024/06/21","1,870554","9287579252","","-485417,66","-0,01%","-0,67%","11,93%","20,11%","10,93%","11,5%","6,88%"
"2024/06/20","1,878602","9328026277","","228,27","0%","0,37%","11,74%","19,59%","11,25%","11,56%","6,92%"
"2024/06/19","1,854645","9209069761","","1498,27","0%","-1,19%","10,63%","17,52%","10,77%","11,37%","6,82%"
"2024/06/18","1,864657","9258781923","","-3861,64","-0%","-0%","11,34%","17,41%","10,97%","11,6%","6,88%"
"2024/06/17","1,854641","9209052242","","1383,4","0%","-0,7%","11,16%","16,78%","10,32%","11,85%","6,87%"
"2024/06/14","1,848525","9178682418","","1647,96","0%","-1,02%","11,11%","17,42%","10,73%","11,81%","6,81%"
"2024/06/13","1,869997","9285298010","","2305886,49","0,02%","-0,78%","12,06%","19,69%","11,59%","11,98%","6,93%"
"2024/06/12","1,897854","9421279143","","50197,67","0%","1,43%","13,26%","22,8%","12,14%","12,36%","7,09%"
"2024/06/11","1,877141","9318406539","","1999,85","0%","1,52%","12,48%","21,79%","11,73%","12,11%","6,95%"
"2024/06/10","1,886498","9364854066","","-1228,45","-0%","1,7%","13,05%","22,39%","12,13%","12,29%","7,07%"
"2024/06/07","1,881698","9341027384","","-1309,77","-0%","1,19%","14,3%","22,18%","12,06%","12,24%","7,08%"
"2024/06/06","1,897146","9417714863","","3196,97","0%","3,24%","15,1%","23%","12,25%","12,66%","7,17%"
"2024/06/05","1,886059","9362674168","","-3122,47","-0%","2,45%","15,29%","22,29%","12,03%","12,49%","7,14%"
"2024/06/04","1,857114","9218990007","","2994,25","0%","1%","14,17%","19,38%","11,45%","12,16%","7,03%"
"2024/06/03","1,86875","9276749828","","-3747,85","-0%","2,05%","14,68%","20,13%","11,84%","12,36%","7,11%"
"2024/05/31","1,85944","9230537348","","2278,1","0%","1,85%","15,1%","21,98%","11,82%","12,32%","7,06%"
"2024/05/30","1,855193","9209452334","","-13467,08","-0%","1,62%","14,83%","20,22%","11,51%","12,02%","7,04%"
"2024/05/29","1,834168","9105094440","","537,02","0%","0,47%","14,19%","17,61%","11,09%","11,78%","6,87%"
"2024/05/28","1,853385","9200490066","","585,42","0%","2,06%","15,41%","18,84%","11,47%","11,8%","7,01%"
"2024/05/27","1,860663","9236618597","","-182820,15","-0%","2,99%","15,73%","19,31%","11,75%","11,86%","7,11%"
"2024/05/24","1,858427","9225701348","","-1907,29","-0%","3,11%","15,13%","20,12%","11,78%","11,87%","7,22%"
"2024/05/23","1,866622","9266385315","","1507273,84","0,02%","3,57%","15,97%","18,45%","11,95%","12,06%","7,27%"
"2024/05/22","1,857446","9219333458","","974256,9","0,01%","3,71%","15,21%","17,15%","11,76%","11,64%","7,2%"
"2024/05/21","1,863788","9249834051","","-3913307,56","-0,04%","5,41%","16,32%","16,97%","11,89%","11,68%","7,29%"
"2024/05/17","1,874775","9308298049","","-1092,22","-0%","5,81%","17,74%","21,52%","11,94%","11,74%","7,46%"
