"Letöltés idõpontja","2024.08.19. 21:41"
"Alap neve:","HOLD Columbus Globális Értékalapú Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","4"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2007/09/04"
"Alapkezelõ:","Hold Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","5,38%"
"5 éves szórás:","8,83%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","3,518786","77663138945","0","1461875,82","0%","-0,04%","6,06%","15,52%","12,78%","14,04%","7,72%"
"2024/08/14","3,519877","77685756081","0","19547394,66","0,03%","0,4%","6,25%","15,98%","12,79%","14,11%","7,7%"
"2024/08/13","3,520642","77683088438","0","3573003,64","0%","0,67%","6,83%","15,51%","12,8%","14,06%","7,71%"
"2024/08/12","3,531134","77911011132","0","82891866,84","0,11%","1,05%","6,52%","15,85%","13,02%","13,86%","7,77%"
"2024/08/09","3,505804","77269832250","0","-45611961,96","-0,06%","0,39%","6,01%","14,02%","13,09%","13,48%","7,67%"
"2024/08/08","3,516849","77559025736","0","21067512,49","0,03%","1,22%","6,26%","14,32%","13,17%","13,47%","7,7%"
"2024/08/07","3,518654","77577754079","0","72403311,04","0,09%","1,56%","5,96%","13,96%","13,19%","13,43%","7,68%"
"2024/08/06","3,50755","77260763089","0","65014912,7","0,08%","1,5%","5,4%","13,99%","13,07%","13,3%","7,64%"
"2024/08/05","3,522284","77520020718","0","25256649,9","0,03%","2,28%","6,38%","14,47%","13,13%","13,22%","7,7%"
"2024/08/02","3,560821","78342627478","0","54343038,38","0,07%","3,29%","7,53%","16,45%","13,28%","13,88%","7,81%"
"2024/08/01","3,57052","78501526855","0","-342550693,83","-0,43%","4%","7,39%","16,16%","13,53%","14%","7,84%"
"2024/07/31","3,573715","78914629409","0","209029896,05","0,27%","4,1%","8,35%","16,72%","13,56%","14,15%","7,88%"
"2024/07/30","3,539367","77949137419","0","166937912,17","0,21%","3,1%","7,72%","15,96%","13,2%","14,03%","7,8%"
"2024/07/29","3,534609","77677636260","0","59406042,37","0,08%","2,36%","7,43%","15,8%","13,12%","13,93%","7,81%"
"2024/07/26","3,528387","77481598237","0","66427530,5","0,09%","2,48%","7,47%","15,61%","13,38%","13,95%","7,82%"
"2024/07/25","3,538432","77635564725","0","243417523,52","0,31%","3,16%","7,88%","16,32%","13,59%","14,01%","7,85%"
"2024/07/24","3,549225","77628210363","0","98847324,96","0,13%","3,23%","8,36%","16,9%","13,7%","14,11%","7,93%"
"2024/07/23","3,540672","77342531084","0","-528990,03","-0%","2,75%","8,37%","17,1%","13,61%","14,09%","7,93%"
"2024/07/22","3,548142","77506236064","0","83105010,94","0,11%","3,06%","8,75%","17,35%","13,66%","14,21%","7,91%"
"2024/07/19","3,561844","77722119014","0","15301628,28","0,02%","3,86%","9,32%","18,37%","13,76%","14,24%","7,96%"
"2024/07/18","3,567242","77824582622","0","60894764,9","0,08%","4,6%","9,72%","18,95%","13,33%","14,3%","7,97%"
"2024/07/17","3,553958","77474104804","0","12294285,54","0,02%","4,51%","9,6%","19,12%","13,19%","14,13%","7,92%"
"2024/07/16","3,555259","77490167020","0","-1571865,88","-0%","4,59%","9,08%","19,57%","13,21%","14,22%","7,95%"
"2024/07/15","3,558542","77563296367","0","50943248,27","0,07%","4,12%","8,79%","19,68%","13,25%","14,29%","7,98%"
"2024/07/12","3,559533","77533939134","0","55069598,96","0,07%","4,06%","8,91%","19,46%","13,37%","14,18%","7,96%"
"2024/07/11","3,558771","77462283399","0","191321920,14","0,25%","3,58%","9,39%","19,99%","13,24%","14,12%","7,96%"
"2024/07/10","3,5342","76737455728","0","8502921,59","0,01%","2,94%","8,78%","19,6%","12,98%","13,91%","7,89%"
"2024/07/09","3,54364","76933899135","0","-80246911,29","-0,1%","3,23%","9,12%","20,09%","13,08%","14,01%","7,92%"
