"Letöltés idõpontja","2024.08.19. 21:44"
"Alap neve:","HOLD Nemzetközi Részvény Alapok Alapja"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Fejlett piaci / Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","6"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Alapok alapja"
"Alap indulási dátuma:","2002/08/01"
"Alapkezelõ:","Hold Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","9,16%"
"5 éves szórás:","15,13%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","6,060275","33305175545","0","-822690790,96","-2,45%","3,47%","7,95%","21,09%","12,59%","15,85%","12,29%"
"2024/08/14","5,96983","33618533860","0","-1637489,16","-0%","2,52%","7,06%","19,72%","12,03%","15,77%","12,05%"
"2024/08/13","5,964889","33592345219","0","65555383,01","0,2%","2,44%","8,19%","19,7%","12%","15,18%","12,07%"
"2024/08/12","5,912478","33232203871","0","12195857,96","0,04%","1,41%","5,82%","18,65%","11,72%","15,15%","12,04%"
"2024/08/09","5,916965","33245218792","0","1137370,98","0%","1,33%","6,05%","17,45%","11,99%","15%","12,05%"
"2024/08/08","5,916192","33239738371","0","13289370,43","0,04%","1,51%","6,68%","16,22%","12,22%","14,85%","12,05%"
"2024/08/07","5,90973","33190157191","0","72492772,59","0,22%","1,57%","6,47%","15,52%","12,18%","15,08%","12,08%"
"2024/08/06","5,838001","32715700716","0","15840125,56","0,05%","0,88%","5,53%","15,64%","11,73%","14,83%","11,88%"
"2024/08/05","5,817381","32584363672","0","9825358,36","0,03%","0,92%","6,19%","15,23%","11,57%","14,73%","11,84%"
"2024/08/02","5,972088","33440823176","0","-18677000,69","-0,05%","4,43%","9,93%","17,57%","12,65%","14,68%","12,15%"
"2024/08/01","6,13262","34358904285","0","287975607,32","0,84%","6,82%","12,56%","18,85%","13,65%","15,09%","12,45%"
"2024/07/31","6,187326","34374858193","0","17342449,7","0,05%","7,77%","14,5%","21,24%","13,98%","15,29%","12,58%"
"2024/07/30","6,076313","33741073213","0","3103872,11","0,01%","5,84%","10,29%","18,99%","13,3%","14,68%","12,25%"
"2024/07/29","6,036162","33515035926","0","17423665,27","0,05%","4,15%","9,53%","18,2%","12,7%","14,43%","12,22%"
"2024/07/26","6,035129","33491879639","0","2385408,58","0,01%","4,36%","11,1%","20%","12,33%","14,45%","12,25%"
"2024/07/25","6,029233","33456776776","0","66255,24","0%","5,45%","11,63%","21%","12,58%","14,59%","12,24%"
"2024/07/24","6,050689","33575771632","0","15200414","0,04%","4,66%","12,56%","21,69%","12,72%","14,52%","12,28%"
"2024/07/23","6,102814","33849686189","0","188617914,38","0,56%","5,3%","13,95%","23,22%","13,04%","14,86%","12,4%"
"2024/07/22","6,077629","33522156290","0","-570130,21","-0%","5,75%","14,15%","22,71%","13,2%","15,03%","12,32%"
"2024/07/19","6,067474","33466713905","0","4847213,97","0,01%","5,88%","14,03%","24,83%","13,73%","15,04%","12,31%"
"2024/07/18","6,075383","33505484497","0","1043763,32","0%","5,86%","15,52%","25,47%","13,36%","14,92%","12,33%"
"2024/07/17","6,116421","33730756546","0","10565419,96","0,03%","6,67%","17,31%","27,42%","13,61%","15,07%","12,51%"
"2024/07/16","6,180413","34072982811","0","-11181572,6","-0,03%","6,89%","17,96%","28,53%","14,01%","15,38%","12,55%"
"2024/07/15","6,168677","34019441888","0","12067061,02","0,04%","6,03%","17,7%","28,28%","13,81%","15,3%","12,62%"
"2024/07/12","6,194378","34149062184","0","63328105,46","0,19%","6,37%","18,44%","27,98%","14,14%","15,38%","12,66%"
"2024/07/11","6,164032","33918749486","0","25473312,63","0,07%","6,18%","18,04%","26,41%","13,87%","15,36%","12,61%"
"2024/07/10","6,189182","34031564861","0","9898606,61","0,03%","6,83%","18,64%","26,21%","14,02%","15,36%","12,68%"
"2024/07/09","6,194866","34052910957","0","39103220,22","0,12%","7,69%","19,19%","24,65%","14,06%","15,46%","12,64%"
"2024/07/08","6,14922","33763181772","0","15218760,24","0,05%","6,12%","18,16%","23,73%","13,97%","15,35%","12,58%"
"2024/07/05","6,131781","33652254820","0","37542907,89","0,11%","6,07%","18,75%","25,3%","14,27%","15,29%","12,32%"
"2024/07/04","6,143916","33681236553","0","64367571,67","0,19%","5,86%","19,28%","26,12%","14,2%","15,38%","12,34%"
"2024/07/03","6,15979","33703724690","0","71768,03","0%","5,11%","18,69%","26,82%","14,3%","15,43%","12,36%"
"2024/07/02","6,149877","33649413360","0","29663852,15","0,09%","4,56%","18,01%","27,22%","14,24%","15,56%","12,43%"
"2024/07/01","6,088848","33286120121","0","-376895758,61","-1,11%","2,86%","16,35%","25,96%","14,14%","15,46%","12,43%"
"2024/06/28","6,155187","34029779972","0","-3000154,55","-0,01%","3,99%","18,44%","30,37%","14,9%","15,89%","12,62%"
"2024/06/27","6,165818","34091560223","0","-6890165,96","-0,02%","5,11%","17,9%","31,07%","14,88%","16,03%","12,64%"
"2024/06/26","6,154099","34033641512","0","10474817,99","0,03%","4,89%","17,82%","31,2%","14,8%","16,02%","12,68%"
"2024/06/25","6,12259","33848968008","0","44794435,39","0,13%","4,12%","17,21%","29,38%","14,61%","15,92%","12,65%"
"2024/06/24","6,14126","33907254772","0","87931684,6","0,26%","4,06%","17,57%","29,77%","14,97%","15,83%","12,71%"
"2024/06/21","6,164397","33946736302","0","1417645,65","0%","5,5%","17,44%","29,64%","14,77%","15,79%","12,66%"
"2024/06/20","6,163083","33938082888","0","19269851,87","0,06%","5,88%","18,16%","28,72%","15,18%","15,67%","12,66%"
"2024/06/19","6,135257","33765671355","0","7686121,73","0,02%","5,68%","16,51%","27,07%","15,01%","15,63%","12,63%"
"2024/06/18","6,136421","33764389903","0","9929471,76","0,03%","6,58%","16,82%","27,19%","15,01%","15,8%","12,55%"
"2024/06/17","6,115971","33641971618","0","8014307,27","0,02%","6,56%","18,43%","26,77%","14,61%","16,01%","12,6%"
"2024/06/14","6,13127","33718092097","0","62655846,26","0,19%","6,83%","17,87%","27,32%","15,14%","16,2%","12,66%"
"2024/06/13","6,066584","33300365352","0","29392235,28","0,09%","4,56%","15,64%","26,66%","15,35%","15,89%","12,54%"
"2024/06/12","6,09135","33406797317","0","5841361,32","0,02%","5,53%","17,4%","28,27%","15,51%","16,15%","12,6%"
"2024/06/11","6,042957","33135600581","0","15397545,29","0,05%","5,72%","16,85%","27,48%","15,2%","15,92%","12,51%"
"2024/06/10","6,027094","33033261199","0","28000142,44","0,09%","5,05%","16,53%","27,15%","15,15%","15,82%","12,51%"
"2024/06/07","5,927806","32461545236","0","43628694,06","0,13%","3,15%","15,51%","25,34%","14,6%","15,44%","12,41%"
