"Letöltés idõpontja","2024.08.19. 21:49"
"Alap neve:","HOLD VM Abszolút Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","3"
"Bef. politika rövid leírása:","Az Alap potenciális befektetési területe a lehetõ legszélesebb és globális: bankbetétek, hazai és nemzetközi részvények illetve kötvények, devizák, egyéb befektetési eszközök, valamint ezekre és árupiaci termékekre vonatkozó származtatott ügyletek. A hagyományos befektetési alapoktól a széles eszköztáron túl abban tér el, hogy nem csak emelkedõ, de esõ piacon is van lehetõsége hozamot elérni. 

Az Alapkezelõ az Alap sikeres kezelése érdekében várhatóan befektetési tanácsokat vesz igénybe olyan társaságtól/társaságoktól, amelyek rendelkeznek befektetési tanácsadásra vonatkozó engedéllyel.

Az Alap célja az állampapírok által biztosított hozamnál nagyobb hozam elérése addicionális kockázat vállalása mellett. A többlethozam elérésének érdekében az Alap magasabb kockázatú instrumentumokat is vásárol és ad el, alapvetõen technikai alapú idõzítéssel, az eszközöket szelektíven kiválasztva. Ha viszont az Alapkezelõ nem lát megfelelõ lehetõséget magasabb kockázatú instrumentumokban, akkor alacsony kockázatú eszközökbe fekteti az Alap tõkéjét, egészen addig, amíg jó vételi vagy eladási lehetõségek nem adódnak."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2005/10/13"
"Alapkezelõ:","Hold Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","2,65%"
"5 éves szórás:","2,46%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","2,77453","1243762108","0","-319736,78","-0,03%","1,3%","5,88%","13,58%","8,88%","5,77%","2,7%"
"2024/08/14","2,771211","1242593626","0","-6496943,41","-0,52%","1,46%","5,99%","13,53%","8,84%","5,77%","2,68%"
"2024/08/13","2,773126","1249953733","0","-53157,51","-0%","1,78%","6,26%","13,66%","8,86%","5,89%","2,69%"
"2024/08/12","2,77108","1249084641","0","-500194,38","-0,04%","1,59%","6,27%","13,58%","8,83%","5,86%","2,68%"
"2024/08/09","2,770523","1249333663","0","77563,25","0,01%","1,52%","6,4%","13,62%","8,8%","5,84%","2,68%"
"2024/08/08","2,768446","1248319560","0","18864,69","0%","1,48%","6,44%","13,56%","8,8%","5,82%","2,67%"
"2024/08/07","2,761746","1245279645","0","1034411,52","0,08%","1,23%","6,39%","13,31%","8,71%","5,76%","2,64%"
"2024/08/06","2,760992","1243905535","0","22656167,45","1,86%","1,08%","6,36%","13,38%","8,7%","5,76%","2,64%"
"2024/08/05","2,75826","1220040942","0","35419,32","0%","1,57%","6,16%","13,26%","8,66%","5,72%","2,6%"
"2024/08/02","2,759055","1220357159","0","-3501039,57","-0,29%","2,01%","6,13%","13,39%","8,64%","5,71%","2,61%"
"2024/08/01","2,764666","1226347119","0","-1202372,86","-0,1%","2,22%","6,44%","13,51%","8,69%","5,75%","2,63%"
"2024/07/31","2,762189","1226449670","0","-7266561,94","-0,59%","2,12%","6,6%","12,98%","8,66%","5,74%","2,63%"
"2024/07/30","2,759163","1232364686","0","-1854163,49","-0,15%","2,01%","6,45%","12,95%","8,62%","5,72%","2,63%"
"2024/07/29","2,759743","1234478293","0","0,49","0%","1,87%","6,41%","12,97%","8,61%","5,71%","2,63%"
"2024/07/26","2,761761","1235380977","0","139076,23","0,01%","2,08%","6,75%","13,81%","8,61%","5,74%","2,64%"
"2024/07/25","2,760232","1234558031","0","2517,51","0%","2,38%","6,65%","13,79%","8,6%","5,77%","2,64%"
"2024/07/24","2,760679","1234755441","0","17000,55","0%","2,28%","6,65%","13,77%","8,6%","5,76%","2,63%"
"2024/07/23","2,765786","1237022592","0","65076,24","0,01%","2,41%","6,73%","13,98%","8,67%","5,81%","2,64%"
"2024/07/22","2,760533","1234608188","0","4659,71","0%","2,25%","6,48%","13,76%","8,6%","5,81%","2,63%"
"2024/07/19","2,758812","1233833839","0","45608,28","0%","2,66%","6,52%","13,75%","8,56%","5,79%","2,63%"
"2024/07/18","2,763997","1236107052","0","85733,61","0,01%","2,71%","6,84%","14%","8,64%","5,82%","2,65%"
"2024/07/17","2,767663","1237660703","0","-243728,3","-0,02%","2,91%","7,23%","14,15%","8,69%","5,85%","2,66%"
"2024/07/16","2,777583","1242341392","0","-361811,26","-0,03%","2,97%","7,51%","14,43%","8,82%","5,91%","2,69%"
"2024/07/15","2,75768","1233798511","0","270804,39","0,02%","2,27%","6,87%","13,61%","8,56%","5,76%","2,62%"
"2024/07/12","2,755592","1232593731","0","9661,6","0%","1,94%","6,82%","13,77%","8,55%","5,75%","2,6%"
"2024/07/11","2,754174","1231949794","0","-22752,33","-0%","1,5%","6,89%","14,08%","8,52%","5,75%","2,6%"
"2024/07/10","2,745606","1228139985","0","286317,36","0,02%","1,75%","6,76%","13,87%","8,4%","5,68%","2,56%"
"2024/07/09","2,743306","1226825092","0","66582,49","0,01%","1,37%","7,08%","13,81%","8,37%","5,67%","2,56%"
"2024/07/08","2,741046","1225747877","0","24987,51","0%","1,5%","6,83%","13,72%","8,33%","5,66%","2,55%"
"2024/07/05","2,742283","1226276043","0","200022,04","0,02%","1,69%","6,71%","13,92%","8,38%","5,67%","2,54%"
"2024/07/04","2,741945","1225924901","0","60586,22","0%","2,21%","6,63%","13,87%","8,36%","5,66%","2,54%"
"2024/07/03","2,741782","1225791441","0","-1577226,96","-0,13%","1,73%","6,58%","13,9%","8,36%","5,66%","2,54%"
"2024/07/02","2,740858","1226955036","0","831584,49","0,07%","2,12%","6,57%","13,97%","8,35%","5,7%","2,55%"
"2024/07/01","2,737316","1224538937","0","-5839220,59","-0,47%","2,13%","6,5%","13,82%","8,26%","5,71%","2,54%"
"2024/06/28","2,741905","1232440837","0","4650,68","0%","2,3%","6,74%","14,08%","8,3%","5,79%","2,56%"
"2024/06/27","2,744877","1233772046","0","676760,67","0,05%","2,44%","6,89%","14,24%","8,34%","5,85%","2,57%"
"2024/06/26","2,742303","1231938954","0","1980595,21","0,16%","2,62%","6,82%","14,17%","8,3%","5,81%","2,55%"
"2024/06/25","2,744678","1231023577","0","16072,81","0%","2,5%","6,92%","14,4%","8,33%","5,83%","2,56%"
"2024/06/24","2,743662","1230551821","0","27554,24","0%","2,32%","6,88%","14,35%","8,32%","5,79%","2,56%"
"2024/06/21","2,743244","1230336795","0","-1502518,09","-0,12%","2,3%","6,87%","14,36%","8,29%","5,77%","2,55%"
"2024/06/20","2,751622","1235601410","0","56305,73","0%","2,96%","7,24%","14,73%","8,26%","5,81%","2,58%"
"2024/06/19","2,750499","1235040850","0","-258240,78","-0,02%","3,33%","7,39%","14,63%","8,25%","5,83%","2,57%"
"2024/06/18","2,750467","1235284719","0","-15289065,31","-1,23%","3,47%","7,58%","14,6%","8,25%","5,86%","2,56%"
"2024/06/17","2,744764","1247980762","0","5584202,93","0,45%","3,95%","7,23%","14,36%","7,95%","5,89%","2,55%"
"2024/06/14","2,750975","1245207921","0","-0","-0%","4,18%","7,81%","14,79%","8,12%","5,96%","2,57%"
"2024/06/13","2,744753","1242391580","0","816750,73","0,07%","3,89%","7,74%","14,65%","8,09%","5,9%","2,55%"
"2024/06/12","2,745831","1242062457","0","25607,39","0%","3,94%","8%","14,82%","8,11%","5,97%","2,54%"
"2024/06/11","2,738333","1238645238","0","310392,74","0,03%","3,98%","7,9%","14,61%","8,01%","5,9%","2,51%"
"2024/06/10","2,740542","1239333804","0","24994,03","0%","3,8%","8,01%","14,7%","8,13%","5,91%","2,51%"
"2024/06/07","2,733163","1235971930","0","1514054,48","0,12%","3,22%","7,42%","14,39%","8,02%","5,86%","2,48%"
"2024/06/06","2,734373","1235004383","0","135357,7","0,01%","3,07%","7,55%","14,38%","8,05%","5,93%","2,48%"
"2024/06/05","2,737245","1236166048","0","6971,05","0%","3,51%","7,83%","14,52%","8,09%","6,01%","2,49%"
"2024/06/04","2,740525","1237640348","0","-168012,95","-0,01%","3,38%","8,37%","14,63%","8,13%","6,07%","2,5%"
"2024/06/03","2,745355","1239989919","0","0,25","0%","3,51%","8,74%","14,83%","8,22%","6,16%","2,52%"
"2024/05/31","2,746702","1240598316","0","-0,67","-0%","4,13%","9,16%","14,85%","8,38%","6,15%","2,52%"
"2024/05/30","2,7487","1241500750","0","1993434,51","0,16%","4,2%","9,24%","14,98%","8,31%","6,13%","2,53%"
"2024/05/29","2,740184","1235667084","0","7488,97","0%","3,88%","8,79%","14,75%","8,19%","6,04%","2,49%"
"2024/05/28","2,73678","1234124594","0","24680,53","0%","3,94%","8,95%","14,61%","8,15%","6%","2,48%"
"2024/05/27","2,733917","1232808897","0","-0,06","-0%","3,79%","9,03%","14,49%","8,19%","5,97%","2,47%"
"2024/05/24","2,733845","1232776430","0","-0,27","-0%","3,58%","9,41%","14,42%","8,15%","5,95%","2,48%"
"2024/05/23","2,73213","1232003083","0","83477,61","0,01%","3,51%","9,18%","14,26%","8,13%","5,92%","2,47%"
"2024/05/22","2,746751","1238512226","0","4650581,94","0,38%","4,34%","9,6%","14,84%","8,32%","6,04%","2,53%"
"2024/05/21","2,758514","1239145674","0","76710,92","0,01%","5,19%","10,09%","15,38%","8,48%","6,12%","2,57%"
"2024/05/17","2,753093","1236633959","0","26952,98","0%","5,12%","10,11%","15,31%","8,14%","6,11%","2,55%"
"2024/05/16","2,736248","1229040736","0","114774,91","0,01%","4,48%","9,41%","14,52%","7,87%","6%","2,49%"
"2024/05/15","2,738971","1230148937","0","-24390,31","-0%","4,52%","9,74%","14,62%","7,91%","5,99%","2,49%"
"2024/05/14","2,731314","1226734285","0","-383580,3","-0,03%","4,46%","9,42%","14,36%","7,81%","5,97%","2,46%"
"2024/05/13","2,724707","1224149489","0","5908570,06","0,48%","4,41%","9,6%","14,09%","7,78%","5,91%","2,44%"
"2024/05/10","2,727626","1219546030","0","0,8","0%","4,75%","9,7%","14,2%","7,82%","5,94%","2,46%"
"2024/05/09","2,729166","1220234577","0","1076047,12","0,09%","4,81%","9,58%","14,42%","7,74%","5,93%","2,47%"
"2024/05/08","2,728044","1218657316","0","59473404,64","5,13%","4,89%","9,44%","14,41%","7,72%","5,92%","2,46%"
