"Letöltés idõpontja","2024.08.19. 21:46"
"Alap neve:","MBH Fejlett Piaci Részvény Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Fejlett piaci"
"Devizális kitettség:","HUF/EUR/USD"
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","4"
"Bef. politika rövid leírása:","Az Alapkezelõ az alap portfóliójában minimum 5% arány-ban tartott likvid eszközökön felüli részt a legfejlettebb or-szágok (OECD) részvényeibe fekteti. A részvény befekte-téseken belül országonként meghatározott súlyok különbö-zõek lehetnek. A legnagyobbak: USA (100%), Japán (35%), Nagy Britannia (35%), Franciaország (25%), Né-metország (25%), a többi ország maximum 10%-ban sze-repelhet a portfólióban."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","UCITS (európai) alap"
"Alap indulási dátuma:","1998/06/03"
"Alapkezelõ:","MBH Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","10,25%"
"5 éves szórás:","15,7%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","3,159788","13648259193","","7775485,31","0,06%","3,3%","6,22%","17,21%","10,82%","16,46%","11,39%"
"2024/08/14","3,093861","13355883548","","20088928,4","0,15%","1,33%","4,17%","14,76%","10,04%","16,02%","11,15%"
"2024/08/13","3,078473","13269466104","","2305761,96","0,02%","0,59%","4,38%","15,36%","9,86%","15,53%","11,13%"
"2024/08/12","3,043825","13117839373","","17570997,15","0,13%","-0,7%","2,71%","14,06%","9,34%","15,6%","11,08%"
"2024/08/09","3,041711","13091169966","","-917776,29","-0,01%","-0,69%","2,72%","12,65%","9,51%","15,36%","11,12%"
"2024/08/08","3,038957","13080234016","","-8462650,26","-0,07%","-0,79%","2,49%","11,73%","9,43%","15,11%","11,11%"
"2024/08/07","2,986445","12862529057","","7345302,28","0,06%","-2,63%","0,6%","10,27%","8,8%","15,05%","10,95%"
"2024/08/06","2,998417","12906717354","","17080325,22","0,13%","-1,89%","1,73%","10,99%","8,95%","15,27%","10,94%"
"2024/08/05","2,96573","12749121695","","7777103,01","0,06%","-2,78%","1%","9,78%","8,69%","15,08%","10,82%"
"2024/08/02","3,069025","13185119713","","7726848,48","0,06%","1,31%","5,28%","12,81%","10,12%","15,02%","11,22%"
"2024/08/01","3,143672","13497902748","","-5607555,64","-0,04%","3,43%","9,58%","14,69%","10,8%","15,26%","11,49%"
"2024/07/31","3,168264","13609144201","","11202405,34","0,08%","4,24%","10,54%","15,78%","11,09%","15,39%","11,51%"
"2024/07/30","3,114181","13365821781","","21062729,06","0,16%","2,46%","6,67%","14,78%","10,46%","14,82%","11,15%"
"2024/07/29","3,125869","13394843984","","6526491,61","0,05%","2,12%","5,99%","15,21%","10,41%","14,75%","11,17%"
"2024/07/26","3,106306","13304527783","","1481409,4","0,01%","1,48%","6,61%","16,32%","9,53%","14,63%","11,11%"
"2024/07/25","3,089846","13232554882","","32401640,01","0,24%","1,75%","6,75%","15,79%","9,47%","14,73%","11,05%"
"2024/07/24","3,121087","13333618142","","63060737,67","0,47%","2,08%","7,73%","17,86%","9,83%","14,87%","11,12%"
"2024/07/23","3,174581","13498008673","","-17196926,76","-0,13%","4,29%","9,96%","20,24%","10,46%","15,23%","11,31%"
