"Letöltés idõpontja","2024.08.20. 23:04"
"Alap neve:","OTP Föld Kincsei Árupiaci Alapok Alapja"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Árupiaci"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","5"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Alapok alapja"
"Alap indulási dátuma:","2009/02/04"
"Alapkezelõ:","OTP Alapkezelõ Zrt."
"Letétkezelõ:","OTP Bank Rt."
"1 éves szórás:","11,3%"
"5 éves szórás:","21,07%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","3,68386","39270098941","","17582352,89","0,04%","0,92%","-4,96%","3,17%","12,85%","18,17%","10,9%"
"2024/08/14","3,709367","39524300516","","-4145112,38","-0,01%","0,25%","-3,3%","3,76%","13,11%","18,12%","10,97%"
"2024/08/13","3,704679","39478488492","","-15046889,21","-0,04%","-1,6%","-3,58%","3,53%","13,06%","18,64%","10,97%"
"2024/08/12","3,725115","39711392283","","2434561,7","0,01%","-2,37%","-3,43%","4,1%","13,7%","18,16%","11,02%"
"2024/08/09","3,708755","39534563495","","30826797,82","0,08%","-3,36%","-3,32%","3,34%","14,63%","17,81%","10,96%"
"2024/08/08","3,693529","39341557234","","4717433,16","0,01%","-4,73%","-4,12%","3,47%","13,53%","17,45%","10,92%"
"2024/08/07","3,673517","39123707905","","34779,59","0%","-4,79%","-4,27%","3,19%","13,32%","17,16%","10,9%"
"2024/08/06","3,63726","38737528998","","-2683977,68","-0,01%","-5,45%","-5,19%","2,04%","12,95%","15,48%","10,83%"
"2024/08/05","3,592493","38263402653","","7615076,56","0,02%","-7,26%","-5,94%","0,78%","11,79%","15,41%","10,81%"
"2024/08/02","3,587174","38199146538","","-4966099,03","-0,01%","-7,66%","-6,16%","1,69%","11,01%","15,5%","10,8%"
"2024/08/01","3,649323","38866011780","","265591,67","0%","-6,14%","-5,47%","3,08%","11,8%","15,5%","10,99%"
"2024/07/31","3,67662","39156462651","","-20585352,55","-0,05%","-5,44%","-4,09%","4,16%","12,08%","16,83%","11,11%"
"2024/07/30","3,601848","38380298208","","-47490146,56","-0,12%","-7,37%","-5,51%","2,45%","11,31%","16,59%","11%"
"2024/07/29","3,602568","38435469969","","-3530995,18","-0,01%","-5,16%","-6%","2,47%","10,96%","16,81%","11,02%"
"2024/07/26","3,620222","38627367186","","-22127502,09","-0,06%","-6,93%","-4,99%","3,92%","11,66%","16,98%","11,17%"
"2024/07/25","3,62956","38749187188","","6846380,61","0,02%","-6,82%","-5,05%","3,78%","12,14%","17,24%","11,2%"
"2024/07/24","3,643462","38890732354","","-31600906,55","-0,08%","-6,79%","-5,07%","4,37%","12,29%","17,4%","11,29%"
"2024/07/23","3,646965","38959755068","","66349053,99","0,17%","-6,25%","-5,4%","5,22%","12,32%","17,14%","11,29%"
"2024/07/22","3,66873","39125520932","","-25958244,1","-0,07%","-5,2%","-4,85%","5,85%","12,47%","17,3%","11,34%"
"2024/07/19","3,662091","39080629953","","7173292,38","0,02%","-3,35%","-5,13%","6,6%","12,91%","17,26%","11,26%"
"2024/07/18","3,685532","39323565382","","-2961631,36","-0,01%","-3,24%","-4,31%","7,43%","13,71%","17,33%","11,33%"
"2024/07/17","3,685477","39325940135","","3105686,54","0,01%","-4,02%","-3,97%","7,78%","13,71%","17,53%","11,42%"
"2024/07/16","3,6692","39149164181","","18483217,2","0,05%","-5,4%","-3,93%","6,93%","13,54%","17,56%","11,44%"
"2024/07/15","3,679367","39239108314","","187554,36","0%","-5,34%","-3,32%","7,23%","13,84%","17,81%","11,52%"
"2024/07/12","3,727492","39752153895","","51519026,2","0,13%","-3,53%","-1,77%","8,6%","14,8%","18,02%","11,68%"
"2024/07/11","3,750234","39942854527","","-9348496,96","-0,02%","-2,6%","-1,24%","9,17%","15,37%","18,14%","11,75%"
"2024/07/10","3,744325","39889252934","","-989166,9","-0%","-2,63%","-1,36%","9,74%","15,31%","18,36%","11,81%"
"2024/07/09","3,759636","40053358149","","-6393407,15","-0,02%","-1,85%","-0,94%","9,74%","15,46%","18,22%","11,82%"
