"Letöltés idõpontja","2024.08.19. 21:44"
"Alap neve:","OTP Klímaváltozás 130/30 Származtatott Részvény Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","5"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2008/01/08"
"Alapkezelõ:","OTP Alapkezelõ Zrt."
"Letétkezelõ:","OTP Bank Rt."
"1 éves szórás:","17,85%"
"5 éves szórás:","21,09%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","2,286064","23979528540","","-5453183,44","-0,02%","-8,32%","0,06%","5,67%","0,6%","12,62%","10,55%"
"2024/08/14","2,256996","23680005376","","-19652752,17","-0,08%","-8,9%","-0,25%","4,4%","0,17%","12,44%","10,29%"
"2024/08/13","2,268586","23821359291","","-19559336,62","-0,08%","-7,36%","2,43%","5,54%","0,34%","12,04%","10,39%"
"2024/08/12","2,241888","23560345246","","-6900404","-0,03%","-8,68%","-1,18%","4,3%","-0,17%","11,94%","10,42%"
"2024/08/09","2,264143","23801195362","","-13014858,63","-0,05%","-8,22%","0,6%","2,94%","0,33%","11,97%","10,78%"
"2024/08/08","2,275531","23933988974","","-13831912,46","-0,06%","-7,02%","2,23%","3,47%","0,96%","11,86%","10,84%"
"2024/08/07","2,2712","23902241190","","-44718269,08","-0,19%","-7,13%","2,93%","1,82%","0,89%","12,18%","10,73%"
"2024/08/06","2,251457","23738794251","","-9201707,55","-0,04%","-7,45%","3,38%","0,45%","0,6%","12,1%","10,78%"
"2024/08/05","2,243276","23661704124","","43942994,42","0,18%","-7,03%","4,77%","0,08%","0,4%","12,21%","10,81%"
"2024/08/02","2,305466","24272512736","","-5056363,49","-0,02%","-2,85%","6,78%","2,71%","1,73%","12,07%","11,22%"
"2024/08/01","2,386133","25127028023","","-10701010,99","-0,04%","2,16%","9,53%","4,51%","2,85%","12,61%","11,6%"
"2024/07/31","2,437453","25678381317","","-27566804,61","-0,11%","4,36%","13,61%","7,97%","3,58%","13,28%","11,92%"
"2024/07/30","2,384256","25144920146","","-4183503,72","-0,02%","2,08%","9,28%","6,77%","2,82%","12,99%","11,34%"
"2024/07/29","2,382068","25126024652","","-15667810,33","-0,06%","0,28%","9,16%","6,67%","2,6%","13,03%","11,36%"
"2024/07/26","2,394466","25272547964","","-14968,17","-0%","1,55%","11,43%","9,16%","2,85%","13,12%","11,45%"
"2024/07/25","2,375249","25069735729","","-19134521,59","-0,08%","2,32%","10,99%","8,74%","2,88%","13,21%","11,36%"
"2024/07/24","2,378909","25127529467","","-22825310,05","-0,09%","1,48%","11,18%","9,98%","2,93%","13,16%","11,35%"
"2024/07/23","2,385454","25219549972","","32182272,61","0,13%","1,23%","11,51%","10,07%","3,03%","13,34%","11,43%"
"2024/07/22","2,374367","25070303046","","-19589612,37","-0,08%","1,97%","11,81%","9,55%","2,98%","13,24%","11,28%"
"2024/07/19","2,361813","24957234770","","-23040649,9","-0,09%","2,02%","12,17%","10,74%","3,75%","13,21%","11,35%"
"2024/07/18","2,365888","25023375624","","-6867517,01","-0,03%","1,88%","13,02%","10,05%","3,41%","13,19%","11,37%"
"2024/07/17","2,379238","25171481334","","-14866262,64","-0,06%","2,9%","15,01%","11,66%","3,6%","13,35%","11,61%"
"2024/07/16","2,444087","25872831864","","-13037021,78","-0,05%","4,77%","16,41%","15,33%","4,54%","13,96%","11,75%"
"2024/07/15","2,414357","25570991845","","-47070736,46","-0,18%","2,84%","14,23%","13,93%","3,82%","13,75%","11,74%"
"2024/07/12","2,473184","26242259321","","-15832822,73","-0,06%","4,63%","16,81%","14,73%","4,08%","14,23%","11,94%"
"2024/07/11","2,45227","26036045689","","-19491717,08","-0,08%","2,98%","16,31%","14,26%","3,89%","14,21%","11,85%"
"2024/07/10","2,396246","25460278553","","15041620,24","0,06%","1,65%","13,42%","11,09%","3,09%","13,5%","11,7%"
"2024/07/09","2,378566","25257496697","","4926903,9","0,02%","0,32%","12,2%","10,05%","2,84%","13,3%","11,51%"
"2024/07/08","2,384836","25319136629","","-4034853,96","-0,02%","0,58%","12,12%","10,34%","3,17%","13,42%","11,61%"
"2024/07/05","2,379129","25262572205","","2142016,29","0,01%","1,18%","13,01%","10,87%","3,14%","13,42%","11,1%"
"2024/07/04","2,391121","25387755390","","-22124842,84","-0,09%","1,11%","13,46%","11,26%","3,29%","13,66%","11,15%"
"2024/07/03","2,393581","25436022074","","-3988995,77","-0,02%","0,53%","13,26%","11,67%","3,32%","13,66%","11,13%"
"2024/07/02","2,362107","25105491825","","8995713,08","0,04%","-0,69%","8,77%","10,05%","2,87%","13,67%","11,02%"
"2024/07/01","2,351086","24979402143","","-5490218,14","-0,02%","-2,57%","7,07%","9,54%","2,68%","13,64%","10,95%"
"2024/06/28","2,377949","25270364336","","-4619581,44","-0,02%","-1,46%","8,58%","14,25%","3,34%","14,1%","11,11%"
"2024/06/27","2,417592","25696345430","","217035117,78","0,85%","1,03%","9,77%","17,27%","3,93%","14,54%","11,3%"
"2024/06/26","2,422822","25534429949","","36002112,35","0,14%","2,56%","10,48%","18,32%","4%","14,91%","11,37%"
"2024/06/25","2,421711","25486735375","","-12944713,16","-0,05%","2,23%","10,43%","17,81%","3,99%","14,91%","11,43%"
"2024/06/24","2,457605","25877630024","","59025310,43","0,23%","2,78%","12,07%","19,55%","4,74%","15,01%","11,69%"
"2024/06/21","2,470958","25958885934","","-33863309,83","-0,13%","4,63%","12,45%","18,09%","5,03%","14,98%","11,47%"
"2024/06/20","2,480036","26088243452","","-46040845,1","-0,18%","5,22%","13,39%","17,83%","5,66%","14,81%","11,51%"
"2024/06/19","2,482346","26158626765","","77133641,01","0,29%","6,5%","12,98%","16,88%","5,69%","14,84%","11,6%"
"2024/06/18","2,505655","26326395939","","-17936249,83","-0,07%","8,2%","14,45%","17,49%","6,02%","15,09%","11,58%"
"2024/06/17","2,491662","26197210482","","-73907,85","-0%","7,86%","14,12%","16,83%","5,55%","15,36%","11,57%"
"2024/06/14","2,509988","26389963587","","-3847244,99","-0,01%","8,66%","14,76%","17,48%","5,85%","15,59%","12,05%"
"2024/06/13","2,539347","26702535771","","292717,04","0%","7,7%","18,62%","19,06%","6,76%","15,68%","12,18%"
