"Letöltés idõpontja","2024.08.19. 21:42"
"Alap neve:","OTP Supra Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:","Tõkeáttétel"
"Hozam/kockázat mutató:","4"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2008/05/14"
"Alapkezelõ:","OTP Alapkezelõ Zrt."
"Letétkezelõ:","OTP Bank Rt."
"1 éves szórás:","6,08%"
"5 éves szórás:","13,44%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","4,25648","77779827459","","-64171169,48","-0,08%","-0,51%","5,01%","10,43%","9,37%","-2,15%","1,08%"
"2024/08/14","4,271612","78120737950","","-45872943,09","-0,06%","-0,51%","5,56%","11,48%","9,49%","-2,04%","1,08%"
"2024/08/13","4,270105","78139034165","","-19194117,03","-0,02%","-0,48%","5,52%","10,52%","9,48%","-2,23%","1,06%"
"2024/08/12","4,301497","78732814411","","-73281360,62","-0,09%","0,49%","6,6%","11,33%","9,76%","-1,94%","1,16%"
"2024/08/09","4,286796","78536764324","","-81586440,53","-0,1%","-0,19%","6,89%","10,84%","9,39%","-1,95%","1,09%"
"2024/08/08","4,284677","78579489040","","-29597280,79","-0,04%","-0,21%","6,39%","11,47%","9,71%","-1,93%","1,08%"
"2024/08/07","4,316724","79197038549","","-148503040,8","-0,19%","0,53%","7%","11,74%","9,98%","-1,69%","1,13%"
"2024/08/06","4,25457","78203091252","","-40168967,53","-0,05%","-1,23%","5,11%","9,51%","9,45%","-2,14%","0,98%"
"2024/08/05","4,25205","78196916402","","-20834203,45","-0,03%","-1,43%","5,75%","9,45%","9,7%","-2,21%","1,03%"
"2024/08/02","4,268861","78526994054","","-875052,32","-0%","-1,15%","6,62%","10,82%","9,81%","-2,25%","1,06%"
"2024/08/01","4,277809","78692472117","","-133662557,69","-0,17%","-0,55%","6,46%","11,03%","10,18%","-2,08%","1,08%"
"2024/07/31","4,27601","78792984944","","-58593719,49","-0,07%","-0,6%","5,79%","11,3%","10,16%","-2,43%","1,14%"
"2024/07/30","4,28284","78977526985","","-19583860,26","-0,02%","-0,44%","6,52%","11,56%","10,22%","-2,34%","1,17%"
"2024/07/29","4,26011","78577855321","","-103107517,95","-0,13%","-0,84%","6,14%","10,97%","10,07%","-2,42%","1,13%"
"2024/07/26","4,265405","78778757426","","-63802374,81","-0,08%","-0,32%","6,11%","12,55%","9,92%","-2,36%","1,17%"
"2024/07/25","4,285376","79211707575","","-55143909,11","-0,07%","0,27%","7,24%","13,75%","10,14%","-2,29%","1,22%"
"2024/07/24","4,291182","79374245407","","-37777687,47","-0,05%","0,33%","7,17%","13,76%","10,18%","-2,27%","1,24%"
"2024/07/23","4,255803","78757304193","","2714576,42","0%","-0,54%","7,06%","13,13%","9,88%","-2,47%","1,18%"
"2024/07/22","4,267858","78977670097","","-41780778,28","-0,05%","0,01%","8,17%","13,45%","9,72%","-2,28%","1,15%"
"2024/07/19","4,283912","79316690911","","-81237335,78","-0,1%","0,63%","8,42%","15,34%","9,26%","-2,22%","1,19%"
"2024/07/18","4,286647","79448618675","","4799625,67","0,01%","1,27%","7,58%","15,9%","9,4%","-2,22%","1,19%"
"2024/07/17","4,277546","79275151511","","29378312,83","0,04%","1,63%","6,96%","15,28%","9,33%","-2,32%","1,18%"
"2024/07/16","4,259479","78911064142","","-50514623,17","-0,06%","1,78%","6,06%","14,1%","9,17%","-2,41%","1,13%"
"2024/07/15","4,278653","79317023483","","3778169,12","0%","1,66%","6,15%","14,61%","9,5%","-2,4%","1,19%"
"2024/07/12","4,31212","79933621956","","-50184332,36","-0,06%","2,9%","7,11%","15,74%","10,03%","-2,24%","1,26%"
"2024/07/11","4,308381","79914453058","","26070023","0,03%","2,72%","7,41%","16,16%","9,97%","-2,26%","1,25%"
"2024/07/10","4,258692","78967022119","","-19592446","-0,02%","0,76%","6,43%","14,86%","9,55%","-2,51%","1,15%"
"2024/07/09","4,276761","79321743083","","-39571683,51","-0,05%","1,66%","6,72%","15,02%","9,7%","-2,26%","1,21%"
"2024/07/08","4,270395","79243184684","","-39472653,83","-0,05%","1,22%","6,69%","14,85%","9,4%","-2,28%","1,16%"
"2024/07/05","4,272752","79326416574","","-41651679,16","-0,05%","2,39%","6,16%","16,29%","9,73%","-2,26%","1,11%"
"2024/07/04","4,285209","79599461984","","-16748120,29","-0,02%","2,3%","6,24%","17,16%","9,79%","-2,17%","1,14%"
"2024/07/03","4,276893","79461704594","","-41578908,78","-0,05%","2,97%","6,08%","17,2%","9,72%","-2,21%","1,09%"
"2024/07/02","4,261085","79209428149","","27632245,87","0,03%","2,67%","5,38%","17,5%","9,58%","-2,09%","1,08%"
"2024/07/01","4,280245","79537837430","","16897381,91","0,02%","3,64%","6,04%","18,03%","9,54%","-2,13%","1,15%"
"2024/06/28","4,293122","79760176621","","-52324333,51","-0,07%","3,95%","6,93%","18,07%","9,19%","-2,02%","1,22%"
"2024/06/27","4,288675","79729827741","","-18120301,17","-0,02%","4,18%","7,84%","18,1%","9,14%","-2,08%","1,21%"
