"Letöltés idõpontja","2024.08.20. 23:01"
"Alap neve:","Platina Delta Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Abszolút hozamú"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:","Tõkeáttétel"
"Hozam/kockázat mutató:","5"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Származtatott ügyletekbe fektetõ alap"
"Alap indulási dátuma:","2006/08/22"
"Alapkezelõ:","Hold Alapkezelõ Zrt."
"Letétkezelõ:","UniCredit Bank Hungary Zrt."
"1 éves szórás:","14,47%"
"5 éves szórás:","14,62%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","6,880791","2512138027","0","-40,85","-0%","-9,78%","16,53%","37,65%","15,45%","18,52%","12,59%"
"2024/08/14","6,847361","2499932963","0","3531506,35","0,14%","-7,78%","16,58%","36,23%","15,26%","18,4%","12,48%"
"2024/08/13","6,894717","2513666442","0","198,37","0%","-6,23%","18,72%","37,65%","15,53%","18,42%","12,55%"
"2024/08/12","6,883029","2509405049","0","-125,69","-0%","-6,51%","17,72%","37,42%","15,68%","18,48%","12,57%"
"2024/08/09","6,859653","2500882785","0","56,21","0%","-7,05%","17,76%","36,51%","15,74%","17,95%","12,51%"
"2024/08/08","6,849949","2497344858","0","-125,62","-0%","-5,33%","18,39%","35,57%","16,23%","17,88%","12,49%"
"2024/08/07","6,72622","2452236035","0","44843,81","0%","-7,66%","17,41%","33,08%","15,53%","17,45%","12,28%"
"2024/08/06","6,756652","2463285845","0","7,22","0%","-7,52%","18,48%","34,18%","15,7%","17,88%","12,3%"
"2024/08/05","6,687224","2437974336","0","-92,3","-0%","-6,41%","17,59%","32,8%","15,37%","17,59%","12,23%"
"2024/08/02","7,246716","2641949529","0","14,34","0%","1,88%","27,26%","43,29%","18,52%","19,66%","13,1%"
"2024/08/01","7,509455","2737736789","0","223,28","0%","6,92%","32,06%","46,73%","20,24%","20,52%","13,51%"
