"Letöltés idõpontja","2024.08.20. 23:05"
"Alap neve:","Raiffeisen Részvény Alap"
"Befektetési sorozat megjelölése:","A sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Közép-Kelet-Európa"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","5"
"Bef. politika rövid leírása:","A Raiffeisen Részvény Alap mûködése során a törvényi elõírások betartása mellett eszközei legalább 50%-át részvényekbe (azon belül túlnyomó részt hazai részvényekbe), a fennmaradó részt likvid és kockázatmentes eszközökbe (pl. állampapír, bankbetét) fekteti. Az Alapkezelõ a piaci helyzet mindenkori megítélésének megfelelõen dönt a részvényeknek és egyéb eszközöknek az alap saját tõkéjén belüli arányáról, így elõfordulhat olyan piaci szituáció, gazdasági esemény, amikor a részvényhányadot az Alapkezelõ 50% alá csökkenti, a befektetõk vagyonának megõrzése érdekében. Kedvezõ tõkepiaci helyzetben ugyanakkor a részvények aránya megközelítheti a 100%-ot is. A Befektetési jegyek zavartalan visszaváltásának biztosítása érdekében a Törvény értelmében likvid eszköznek minõsülõ eszközöknek az Alap saját tõkéjéhez viszonyított aránya rendszerint 5% és 15% között fog mozogni. Az Alapkezelõ a hazai vállalatok mélyreható és sokoldalú elemzése segítségével olyan befektetési stratégiát alakít ki, amely középtávon az egyedi részvényekbe történõ befektetés kockázati szintjénél alacsonyabb kockázat mellett a kötvénybefektetések hozamát meghaladó megtérülést biztosít."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","UCITS (európai) alap"
"Alap indulási dátuma:","1997/11/21"
"Alapkezelõ:","Raiffeisen Befektetési Alapkezelõ Zrt."
"Letétkezelõ:","Raiffeisen Bank Zrt."
"1 éves szórás:","8,1%"
"5 éves szórás:","16,08%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/16","4,526653","5924529834","","-38100636,2","-0,64%","1,75%","10,39%","25,34%","13,9%","12,69%","8,78%"
"2024/08/15","4,513162","5944859758","","-1238539,43","-0,02%","1,61%","10,19%","25,64%","13,89%","12,63%","8,75%"
"2024/08/14","4,493896","5920715311","","32167191,93","0,55%","1,47%","10,52%","24,71%","13,72%","12,11%","8,78%"
"2024/08/13","4,502736","5900131557","","5532959,74","0,1%","2,06%","9,99%","24,07%","13,8%","12,28%","8,96%"
"2024/08/12","4,448275","5823302893","","-165331050,25","-2,75%","0,28%","9%","22,57%","13,3%","11,97%","8,77%"
"2024/08/09","4,458798","6002800872","","11169330,23","0,19%","0,86%","9,46%","23,57%","13,81%","11,91%","8,85%"
"2024/08/08","4,460171","5993476548","","31109297,14","0,53%","1,13%","9,35%","21,75%","13,9%","12,03%","8,85%"
"2024/08/07","4,411099","5896767684","","-11715384,54","-0,2%","0,31%","8,23%","20,04%","13,48%","11,66%","8,63%"
"2024/08/06","4,414779","5913412275","","15897938,28","0,26%","1,63%","8,67%","20,73%","13,51%","11,6%","8,62%"
"2024/08/05","4,540706","6065734827","","6551066,4","0,11%","4,39%","11,61%","24,17%","14,52%","11,85%","8,96%"
"2024/08/02","4,588938","6123545239","","9057894,04","0,15%","5,35%","13,26%","24,44%","15,2%","11,94%","9,2%"
"2024/08/01","4,63647","6177820912","","3779067,7","0,06%","5,71%","15,44%","26,97%","15,57%","11,86%","9,31%"
"2024/07/31","4,58778","6109204997","","30508020,49","0,5%","4,6%","14,66%","26,5%","15,16%","11,69%","9,08%"
"2024/07/30","4,583564","6073110879","","61528162,07","1,03%","4,5%","15,37%","27,85%","15,13%","11,6%","9,03%"
"2024/07/29","4,57463","5999865311","","31442541,79","0,53%","4,86%","15,62%","27,6%","15,41%","11,47%","9,02%"
"2024/07/26","4,577003","5971518772","","89509192,88","1,51%","5,58%","15,9%","28,12%","15,47%","11,45%","9,01%"
