"Letöltés idõpontja","2024.08.20. 22:52"
"Alap neve:","Takarék Származtatott Befektetési Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Származtatott"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:","HUF/EUR/USD"
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","2"
"Bef. politika rövid leírása:","Az Alap célja az állampapírok által biztosított hozamnál nagyobb hozam elérése jelentõs többletkockázat vállalása mellett, elsõsorban származtatott ügyletek és részvények kereskedésével. Az Alap törekszik a leglikvidebb származtatott termékek kereskedésére, amiben folyamatosan vagy legalább a teljes európai-amerikai idõzónában zajlik kereskedés. Az Alap nem származtatott eszközökön kívül elsõsorban olyan  hitelviszonyt megtestesítõ értékpapírokba fektet, amelyeket a Magyar Állam, az EGT vagy az OECD tagállam kormánya, belföldi és külföldi társaságok vagy egyéb jogalanyok bocsátottak ki, valamint befektethet betétekbe és betétjellegû eszközökbe és kollektív befektetési értékpapírokba is. A származtatott ügyletek alkalmazására fedezeti célból és a befektetési célok megvalósítása érdekében is lehetõség van."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Értékpapíralap"
"Alap indulási dátuma:","2012/12/14"
"Alapkezelõ:","Gránit Alapkezelõ Zrt."
"Letétkezelõ:","MBH Befektetési Bank Zrt."
"1 éves szórás:","1,47%"
"5 éves szórás:","2,46%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","1,205102","532673774","0","113,21","0%","1,64%","2,81%","8,99%","6,46%","5,07%","1,73%"
"2024/08/14","1,204986","532622387","0","-295,4","-0%","1,73%","2,95%","9,15%","6,46%","4,92%","1,71%"
"2024/08/13","1,204641","532470187","0","52,22","0%","1,67%","2,93%","9,16%","6,45%","4,79%","1,79%"
"2024/08/12","1,204911","532589479","0","79,33","0%","1,72%","2,98%","9,18%","6,5%","4,76%","1,84%"
"2024/08/09","1,201331","531006984","0","-189,95","-0%","1,28%","2,68%","9,05%","6,51%","4,64%","1,82%"
"2024/08/08","1,20057","530670800","0","27,03","0%","1,25%","2,86%","9,07%","6,37%","4,58%","1,81%"
"2024/08/07","1,199361","530136376","0","179,38","0%","1,16%","2,9%","8,99%","6,34%","4,51%","1,88%"
"2024/08/06","1,19842","529720260","0","164,22","0%","1,13%","2,68%","8,96%","6,31%","4,42%","1,88%"
"2024/08/05","1,199863","530357924","0","-74,86","-0%","1,41%","2,87%","9,09%","6,54%","4,39%","1,95%"
"2024/08/02","1,206145","533134740","0","23,2","0%","2,04%","3,56%","9,76%","6,88%","4,54%","1,86%"
"2024/08/01","1,208554","534199532","0","-63,57","-0%","2,31%","3,72%","10,06%","6,96%","4,6%","1,88%"
"2024/07/31","1,208259","534069201","0","-235,19","-0%","2,28%","3,83%","10,18%","6,95%","4,6%","1,9%"
"2024/07/30","1,20608","533106284","0","53,51","0%","2,1%","3,77%","10,07%","6,88%","4,57%","1,87%"
"2024/07/29","1,205026","532640346","0","310,52","0%","1,95%","3,65%","9,98%","6,98%","4,54%","1,87%"
