"Letöltés idõpontja","2024.08.20. 22:45"
"Alap neve:","Takarék Apollo Származtatott Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:",""
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Globális"
"Devizális kitettség:","HUF/EUR/USD"
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","4"
"Bef. politika rövid leírása:","Az Alap segítségével az Alapkezelõ a legfejlettebb tõkepiacokat hozza közelebb a Befektetõkhöz: az Apolló befektetési stratégiájának célja fõként az észak-amerikai és nyugat-európai részvénypiacok teljesítményébõl való részesedés. Ez jelentõs kockázatot, ugyanakkor kiemelkedõ hozampotenciált is rejt magában, ami miatt az Alapot elsõsorban a kockázatkedvelõ Befektetõk portfóliójába tudjuk ajánlani. Az Alap eszközei között szereplõ egyedi részvények a portfóliómenedzsereink által kialakított stratégia mentén kerülnek a portfólióba, ami egyaránt figyelembe veszi a historikus árfolyam adatokat, értékeltséget és a részvények között fennálló kapcsolatokat."
"Alap típusa:","Nyilvános nyíltvégû"
"Alap fajtája:","Értékpapíralap"
"Alap indulási dátuma:","2016/01/13"
"Alapkezelõ:","Gránit Alapkezelõ Zrt."
"Letétkezelõ:","MBH Befektetési Bank Zrt."
"1 éves szórás:","10,05%"
"5 éves szórás:","14,86%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","2,421148","1550987635","0","2150786,51","0,14%","0,95%","4,64%","14,6%","9,51%","13,33%",""
"2024/08/14","2,388479","1527938105","0","1195701,91","0,08%","0,1%","3,85%","13,3%","9,02%","13,22%",""
"2024/08/13","2,381725","1522425171","0","-7,17","-0%","-0,27%","4,91%","12,99%","8,91%","12,86%",""
"2024/08/12","2,370249","1515089591","0","12877068,46","0,86%","-0,92%","3,02%","12,45%","8,72%","12,76%",""
"2024/08/09","2,367418","1500418296","0","6902847,34","0,46%","-1,18%","2,83%","11,39%","8,86%","12,65%",""
"2024/08/08","2,3631","1490791384","0","175,66","0%","-1,12%","3,41%","11,69%","9,02%","12,42%",""
"2024/08/07","2,346548","1480349172","0","1065576,53","0,07%","-1,48%","2,92%","9,05%","8,77%","12,59%",""
"2024/08/06","2,326327","1466536107","0","861809,98","0,06%","-1,89%","2,43%","7,99%","8,45%","12,42%",""
"2024/08/05","2,317631","1460195487","0","2188720,79","0,15%","-1,62%","3,03%","7,59%","8,33%","12,37%",""
"2024/08/02","2,379292","1496797305","0","5168069,43","0,34%","1,46%","6,71%","10,95%","9,46%","12,86%",""
"2024/08/01","2,431839","1524572078","0","313,42","0%","3,16%","9,21%","11,24%","10,3%","13,1%",""
"2024/07/31","2,463349","1544326056","0","11441,49","0%","4,5%","11,38%","13,35%","10,78%","13,35%",""
"2024/07/30","2,428099","1522215801","0","7046128,73","0,47%","3%","7,72%","12,42%","10,25%","12,94%",""
"2024/07/29","2,416514","1507940461","0","4072429,89","0,27%","1,23%","7,54%","11,88%","9,81%","12,57%",""
"2024/07/26","2,420316","1506234128","0","-4013794,07","-0,27%","1,2%","9,08%","14,42%","9,62%","12,59%",""
"2024/07/25","2,412133","1505141829","0","-2718165,1","-0,18%","1,74%","9,35%","14,61%","9,65%","12,63%",""
"2024/07/24","2,420792","1513272863","0","-106573,84","-0,01%","1,17%","10,23%","15,18%","9,78%","12,59%",""
"2024/07/23","2,440364","1525615045","0","-317,78","-0%","1,59%","12,32%","16,05%","10,07%","12,83%",""
"2024/07/22","2,439818","1525274026","0","-3606238,7","-0,24%","2,8%","12,7%","16,02%","10,46%","13%",""
"2024/07/19","2,420125","1516539902","0","-863128,01","-0,06%","2,61%","12,1%","17,72%","10,96%","12,82%",""
"2024/07/18","2,422808","1519085254","0","9657,71","0%","2,77%","13,16%","17,66%","10,52%","12,79%",""
"2024/07/17","2,429615","1523343515","0","445,07","0%","3,11%","14,54%","18,97%","10,62%","12,83%",""
"2024/07/16","2,460817","1542906396","0","5157119,37","0,33%","3,73%","15,62%","19,82%","11,09%","13,03%",""
"2024/07/15","2,472169","1544843071","0","4956,73","0%","3,85%","16,22%","20,37%","11,16%","13,15%",""
"2024/07/12","2,478317","1548679949","0","82915,37","0,01%","4,18%","16,54%","19,78%","11,35%","13,22%",""
"2024/07/11","2,465686","1540704448","0","4552271,5","0,3%","3,62%","16,48%","19,27%","11,23%","13,13%",""
"2024/07/10","2,471768","1539941336","0","548058,53","0,04%","4,36%","16,7%","19,62%","11,32%","13,2%",""
"2024/07/09","2,463852","1534463269","0","999000,9","0,07%","4,18%","16,57%","18,03%","11,2%","13,14%",""
"2024/07/08","2,460178","1531177626","0","-5258683,95","-0,34%","3,06%","16,53%","17,85%","11,41%","13,1%",""
"2024/07/05","2,462812","1538081302","0","2008436,18","0,13%","3,5%","17,35%","19,13%","11,71%","13,12%",""
"2024/07/04","2,465964","1538038790","0","3199647,81","0,21%","3,41%","17,25%","19,47%","11,65%","13,15%",""
"2024/07/03","2,462578","1532731664","0","12200772,73","0,81%","1,9%","16,68%","19,86%","11,6%","13,11%",""
"2024/07/02","2,452026","1514015507","0","983562,32","0,07%","1,16%","14,92%","19,96%","11,44%","13,18%",""
"2024/07/01","2,447775","1510408849","0","338438226,95","28,84%","0,29%","13,76%","19,75%","11,6%","13,2%",""
"2024/06/28","2,450854","1173444817","0","-1624207,37","-0,14%","0,42%","14,55%","22,42%","11,87%","13,36%",""
"2024/06/27","2,455404","1177250535","0","165,61","0%","1,14%","14,4%","23,35%","11,88%","13,47%",""
"2024/06/26","2,451682","1175465846","0","-383,25","-0%","1,1%","14,18%","23,46%","11,82%","13,43%",""
"2024/06/25","2,447902","1173653897","0","1991304,34","0,17%","0,64%","14,01%","22,76%","11,77%","13,39%",""
"2024/06/24","2,446331","1170910650","0","-0,04","-0%","0,43%","13,94%","22,69%","11,94%","13,32%",""
"2024/06/21","2,450578","1172943432","0","330,98","0%","1,19%","13,76%","22,22%","11,68%","13,32%",""
"2024/06/20","2,458564","1176765515","0","10010,84","0%","1,74%","13,45%","21,18%","12,12%","13,37%",""
"2024/06/19","2,443322","1169460145","0","161084,83","0,01%","1,31%","12,89%","19,64%","11,89%","13,26%",""
"2024/06/18","2,442642","1168973633","0","1512108,43","0,13%","2,28%","13,06%","19,19%","11,88%","13,38%",""
"2024/06/17","2,431784","1162271940","0","-55,36","-0%","1,9%","13,65%","18,66%","11,41%","13,6%",""
"2024/06/14","2,423293","1158213719","0","-41,59","-0%","1,55%","13,54%","19,29%","11,82%","13,66%",""
"2024/06/13","2,423446","1158286887","0","735631,27","0,06%","0,61%","12,88%","19,83%","12,36%","13,57%",""
"2024/06/12","2,44786","1169212525","0","-1871823,4","-0,16%","2,14%","14,34%","22,44%","12,74%","13,92%",""
"2024/06/11","2,420252","1157876364","0","-51,75","-0%","2,21%","13,55%","21,55%","12,31%","13,66%",""
"2024/06/10","2,422724","1159059049","0","20363,84","0%","1,83%","13,56%","21,67%","12,49%","13,69%",""
"2024/06/07","2,397425","1146935565","0","-3407240,48","-0,29%","0,38%","13,51%","20,3%","12,18%","13,45%",""
"2024/06/06","2,416917","1159695541","0","708505,53","0,06%","2,07%","14,73%","21,1%","12,25%","13,86%",""
"2024/06/05","2,40293","1152279833","0","24,42","0%","1,26%","14,8%","20,52%","12,04%","13,8%",""
"2024/06/04","2,368636","1135834767","0","-381,43","-0%","-0,43%","13,61%","18,13%","11,5%","13,51%",""
"2024/06/03","2,388753","1145481880","0","4407266,48","0,39%","0,52%","14,25%","19,13%","12,2%","13,79%",""
"2024/05/31","2,381397","1137560753","0","353858,73","0,03%","1,08%","14,83%","20,61%","12,03%","13,74%",""
"2024/05/30","2,368996","1131284949","0","1950078,57","0,17%","0,55%","14,23%","18,96%","11,72%","13,42%",""
"2024/05/29","2,340169","1115592620","0","91,61","0%","-0,67%","13,67%","16,55%","11,27%","13,2%",""
"2024/05/28","2,357215","1123718604","0","-69,59","-0%","0,59%","14,03%","17,4%","11,54%","13,19%",""
"2024/05/27","2,367639","1128687946","0","-1089114,9","-0,1%","1,7%","14,59%","17,91%","11,71%","13,17%",""
"2024/05/24","2,369725","1130772447","0","88,07","0%","1,66%","14,13%","19,27%","11,97%","13,21%",""
"2024/05/23","2,379215","1135300745","0","239,86","0%","2,06%","14,8%","17,84%","12,12%","13,37%",""
"2024/05/22","2,365264","1128643445","0","2443436,01","0,22%","2,09%","13,65%","16,55%","11,9%","13%",""
"2024/05/21","2,378104","1132313664","0","9924,12","0%","3,89%","15,37%","16,46%","12,1%","13,07%",""
"2024/05/17","2,399609","1142543070","0","317,26","0%","4%","17,19%","21,48%","12,19%","13,28%",""
"2024/05/16","2,383916","1135070734","0","10790,3","0%","3,32%","17,16%","21,83%","11,49%","13,02%",""
"2024/05/15","2,398308","1141912443","0","-194564,74","-0,02%","3,65%","17,4%","21,91%","11,72%","13,37%",""
"2024/05/14","2,386196","1136339108","0","346,18","0%","3,75%","16,13%","21,2%","11,53%","13,38%",""
"2024/05/13","2,388164","1137275950","0","-699857,67","-0,06%","5,2%","17,88%","21,3%","11,91%","13,48%",""
"2024/05/10","2,392255","1139925196","0","-456,97","-0%","3,9%","18,19%","21,75%","11,42%","13,25%",""
"2024/05/09","2,395742","1141587232","0","-25613488,16","-2,2%","4,06%","18,36%","21,6%","11,12%","13,32%",""
"2024/05/08","2,389812","1164311636","0","1552509,42","0,13%","4,58%","17,99%","20,82%","11,03%","13,08%",""
"2024/05/07","2,381747","1158835114","0","3251991,84","0,28%","4,47%","17,9%","20,27%","10,91%","12,99%",""
"2024/05/06","2,371106","1150420290","0","330,35","0%","4,4%","17,55%","19,73%","10,94%","12,64%",""
"2024/05/03","2,355893","1143038873","0","-381,99","-0%","5,66%","15,65%","19,35%","10,65%","12,44%",""
"2024/05/02","2,345063","1137784723","0","732149,73","0,06%","5,18%","15,39%","19,17%","10,75%","12,34%",""
"2024/04/30","2,357271","1142971876","0","44220209,87","3,97%","4,58%","19,2%","18,12%","10,94%","12,46%",""
"2024/04/29","2,387181","1112693068","0","-7458905,26","-0,66%","6,24%","21,18%","19,62%","11,1%","12,75%",""
"2024/04/26","2,39167","1122258375","0","193,81","0%","7,79%","20,7%","21,11%","10,93%","12,84%",""
"2024/04/25","2,370862","1112494314","0","-202,24","-0%","7,48%","18,2%","19,28%","10,64%","12,68%",""
"2024/04/24","2,392816","1122796130","0","25363304,91","2,3%","8,95%","19,93%","18,93%","10,98%","12,95%",""
"2024/04/23","2,402187","1101730708","0","-187,94","-0%","10,56%","19,54%","19,47%","11,13%","13,06%",""
"2024/04/22","2,373331","1088496478","0","1061813,37","0,1%","9,63%","18,1%","18,03%","10,79%","12,95%",""
"2024/04/19","2,358556","1080664919","0","1238499,52","0,11%","9,25%","15,43%","17,22%","10,6%","12,81%",""
"2024/04/18","2,357572","1078976078","0","10305,85","0%","10,11%","15,43%","17,77%","10,42%","12,8%",""
"2024/04/17","2,356247","1078359373","0","-2148354,81","-0,2%","11,08%","12,93%","17,86%","10,4%","12,93%",""
"2024/04/16","2,372333","1087884309","0","222,27","0%","11,47%","13,54%","18,92%","10,65%","13,07%",""
"2024/04/15","2,380417","1091591178","0","1491297,62","0,14%","11,91%","14,61%","19,32%","11,14%","13,18%",""
"2024/04/12","2,378808","1089363047","0","-116,63","-0%","11,86%","14,51%","19,97%","11,42%","13,15%",""
"2024/04/11","2,379619","1089734557","0","-12444912,58","-1,13%","12,41%","13,69%","19,85%","11,22%","13,3%",""
"2024/04/10","2,368515","1097036377","0","2206687,56","0,2%","11,82%","12,96%","19,99%","11,05%","13,2%",""
"2024/04/09","2,36507","1093237262","0","694057,15","0,06%","11,9%","13,56%","19,82%","11%","13,17%",""
"2024/04/08","2,387063","1102702863","0","-28,72","-0%","13,07%","15,17%","20,93%","11,45%","13,27%",""
"2024/04/05","2,379492","1099205471","0","3490487,22","0,32%","13,38%","15,48%","20,9%","11,27%","13,18%",""
"2024/04/04","2,384721","1098122848","0","729037,48","0,07%","13,39%","15,43%","20,79%","11,35%","13,29%",""
