"Letöltés idõpontja","2024.08.19. 21:48"
"Alap neve:","VIG Opportunity Fejlett Piaci Részvény Befektetési Alap"
"Befektetési sorozat megjelölése:","I sorozat"
"Befektetési jegy devizaneme:","HUF"
"Kategória:","Részvény"
"Földrajzi kitettség:","Fejlett piaci"
"Devizális kitettség:",""
"Egyéb jellemzõ kitettség:",""
"Hozam/kockázat mutató:","6"
"Bef. politika rövid leírása:",""
"Alap típusa:","Nyilvános nyíltvégû intézményi"
"Alap fajtája:","Értékpapíralap"
"Alap indulási dátuma:","2013/08/16"
"Alapkezelõ:","VIG Befektetési Alapkezelõ Magyarország Zrt."
"Letétkezelõ:","Erste Bank Hungary Zrt."
"1 éves szórás:","11,51%"
"5 éves szórás:","16,61%"
"Dátum","Árfolyam","NEÉ","Kifizetett hozam","Napi befjegy. forgalom","Napi befjegy. forgalom változás(%)","3 hónapos hozam","6 hónapos hozam","1 éves hozam","3 éves hozam","5 éves hozam","10 éves hozam"
"2024/08/15","3,59841","38608723748","0","0,21","0%","3,59%","7,98%","23,47%","12,73%","16,79%","11,8%"
"2024/08/14","3,537364","37953737754","0","-0,21","-0%","2,5%","7,02%","22,09%","12,08%","16,64%","11,53%"
"2024/08/13","3,534894","37927236175","0","0,11","0%","2,45%","8,29%","22,33%","12,06%","16%","11,54%"
"2024/08/12","3,496614","37516515344","0","-0,12","-0%","1,18%","5,44%","21,01%","11,65%","15,9%","11,49%"
"2024/08/09","3,506161","37618948776","0","-0,3","-0%","1,18%","6,01%","19,87%","11,87%","15,82%","11,53%"
"2024/08/08","3,497927","37530603026","0","572368191,61","1,55%","1,2%","6,45%","19,94%","12,01%","15,63%","11,5%"
"2024/08/07","3,493111","36907350165","0","-0,13","-0%","1,21%","6,41%","18,01%","11,95%","15,92%","11,49%"
"2024/08/06","3,452931","36482818185","0","466999998,99","1,31%","0,87%","5,7%","16,16%","11,52%","15,66%","11,3%"
"2024/08/05","3,430653","35783447369","0","1224804,26","0%","0,47%","6,15%","15,41%","11,36%","15,45%","11,31%"
"2024/08/02","3,531622","36835344297","0","500929279,89","1,34%","4,45%","10,4%","19,44%","12,48%","15,44%","11,59%"
"2024/08/01","3,627739","37323296321","0","-0,07","-0%","6,71%","13,39%","20,88%","13,53%","15,82%","11,89%"
"2024/07/31","3,664023","37696597290","0","74032500,62","0,2%","7,78%","14,79%","23,47%","13,9%","16,05%","12%"
