Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",08/07/2024,2005951,1934
KKR,KKR,Financials,Asset Management & Custody Banks,"New York City, New York",24/06/2024,1404912,1976
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",24/06/2024,1535527,2011
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,"Tempe, Arizona",24/06/2024,1609711,1997
VST,Vistra,Utilities,Electric Utilities,"Irving, Texas",08/05/2024,1692819,2016
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",02/04/2024,1996810,2024
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",01/04/2024,1964738,2023
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",18/03/2024,910521,1973
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",18/03/2024,1375365,1993
BLDR,Builders FirstSource,Industrials,Building Products,"Irving, Texas",18/12/2023,1316835,1998
UBER,Uber,Industrials,Passenger Ground Transportation,"San Francisco, California",18/12/2023,1543151,2009
JBL,Jabil,Information Technology,Electronic Manufacturing Services,"St. Petersburg, Florida",18/12/2023,898293,1966
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Vancouver, Canada",18/10/2023,1397187,1998
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",18/10/2023,48898,1888
VLTO,Veralto,Industrials,Environmental & Facilities Services,"Waltham, Massachusetts",02/10/2023,1967680,2023
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",18/09/2023,1559720,2008
BX,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York",18/09/2023,1393818,1985
KVUE,Kenvue,Consumer Staples,Personal Care Products,"Skillman, New Jersey",25/08/2023,1944048,2022 (Johnson & Johnson spinoff)
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",20/06/2023,1327567,2005
AXON,Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",04/05/2023,1069183,1993
